PLAYER,Season,Tier,Performance_Index,SALARY,New_Salary,Salary_Diff,Percent_Diff,Underpaid
bridget carleton,2021,7,44.13,58710,79769.92,21059.92,35.87,True
kathryn westbeld,2025,7,44.04,66079,177742.48,111663.48,168.98,True
nia coffey,2023,7,44.02,135000,133111.79,-1888.21,-1.4,False
tyasha harris,2021,7,43.99,66555,79516.86,12961.86,19.48,True
nalyssa smith,2025,8,43.98,91981,177500.33,85519.33,92.97,True
myisha hines-allen,2023,8,43.97,175100,132960.59,-42139.41,-24.07,False
sami whitcomb,2024,8,43.92,140000,149817.06,9817.06,7.01,True
rae burrell,2024,8,43.86,125000,149612.4,24612.4,19.69,True
nikolina milić,2023,8,43.84,90000,132567.49,42567.49,47.3,True
victoria vivians,2023,8,43.79,135000,132416.29,-2583.71,-1.91,False
stephanie talbot,2021,8,43.7,70040,78992.65,8952.65,12.78,True
crystal dangerfield,2022,8,43.7,16166,99438.3,83272.3,515.11,True
crystal dangerfield,2022,8,43.7,25745,99438.3,73693.3,286.24,True
crystal dangerfield,2022,8,43.7,2694,99438.3,96744.3,3591.1,True
lexi held,2025,8,43.63,66079,176087.75,110008.75,166.48,True
rachel banham,2024,8,43.61,95000,148759.61,53759.61,56.59,True
sydney wiese,2021,8,43.45,80000,78540.75,-1459.25,-1.82,False
damiris dantas,2025,8,43.42,100000,175240.2,75240.2,75.24,True
zia cooke,2023,8,43.3,68295,130934.58,62639.58,91.72,True
jade melbourne,2025,8,43.21,66710,174392.66,107682.66,161.42,True
michaela onyenwere,2022,8,43.11,68552,98095.77,29543.77,43.1,True
naz hillmon,2023,8,43.03,64657,130118.13,65461.13,101.24,True
dana evans,2022,8,42.8,62774,97390.37,34616.37,55.14,True
grace berger,2023,8,42.75,71300,129271.44,57971.44,81.31,True
jasmine walker,2022,8,42.61,70000,96958.03,26958.03,38.51,True
crystal dangerfield,2024,8,42.59,15912,145280.25,129368.25,813.02,True
crystal dangerfield,2024,8,42.59,21218,145280.25,124062.25,584.7,True
crystal dangerfield,2024,8,42.59,36436,145280.25,108844.25,298.73,True
tyasha harris,2022,8,42.54,73211,96798.74,23587.74,32.22,True
shavonte zellous,2021,8,42.54,70040,76895.82,6855.82,9.79,True
jasmine thomas,2023,8,42.24,190000,127729.26,-62270.74,-32.77,False
briann january,2022,8,42.21,140000,96047.84,-43952.16,-31.39,False
maddy siegrist,2023,8,42.13,74305,127396.63,53091.63,71.45,True
veronica burton,2023,8,42.1,70609,127305.91,56696.91,80.3,True
jessica shepard,2025,8,41.96,78831,169347.74,90516.74,114.82,True
erica wheeler,2024,8,41.77,202154,142483.12,-59670.88,-29.52,False
rachel banham,2023,8,41.66,74305,125975.4,51670.4,69.54,True
kate martin,2024,8,41.59,67249,141869.12,74620.12,110.96,True
kayla thornton,2023,8,41.57,109716,125703.25,15987.25,14.57,True
aaliyah nye,2025,8,41.34,69267,166845.46,97578.46,140.87,True
epiphanny prince,2022,8,40.84,72141,92930.44,20789.44,28.82,True
destanni henderson,2022,8,40.59,63389,92361.57,28972.57,45.71,True
nikolina milić,2022,8,40.53,42359,92225.04,49866.04,117.72,True
lucy olsen,2025,8,40.37,69261,162930.61,93669.61,135.24,True
natisha hiedeman,2024,8,40.2,120000,137127.64,17127.64,14.27,True
alysha clark,2025,8,40.15,205908,162042.7,-43865.3,-21.3,False
dorka juhász,2023,8,40.13,65290,121348.84,56058.84,85.86,True
sophie cunningham,2021,8,40.1,58710,72485.25,13775.25,23.46,True
bella alarie,2021,8,40.08,66555,72449.09,5894.09,8.86,True
kiah stokes,2022,8,39.87,115000,90723.22,-24276.78,-21.11,False
kierstan bell,2025,8,39.85,84543,160831.92,76288.92,90.24,True
haley jones,2023,8,39.82,71300,120411.43,49111.43,68.88,True
michaela onyenwere,2024,8,39.67,85690,135319.74,49629.74,57.92,True
brianna turner,2022,8,39.58,72141,90063.34,17922.34,24.84,True
jocelyn willoughby,2023,8,39.49,79690,119413.55,39723.55,49.85,True
jade melbourne,2024,8,39.46,64154,134603.4,70449.4,109.81,True
isabelle harrison,2025,8,39.44,78831,159177.19,80346.19,101.92,True
veronica burton,2024,9,39.14,50180,133511.84,83331.84,166.07,True
dominique malonga,2025,9,39.12,78831,157885.69,79054.69,100.28,True
asia (ad) durr,2023,9,39.04,74305,118052.8,43747.8,58.88,True
tyasha harris,2023,9,39.04,83194,118052.8,34858.8,41.9,True
haley jones,2024,9,39.0,72727,133034.28,60307.28,82.92,True
rebekah gardner,2025,9,38.97,66079,157280.3,91201.3,138.02,True
courtney vandersloot,2024,9,38.93,194670,132795.5,-61874.5,-31.78,False
bridget carleton,2022,9,38.93,72141,88584.28,16443.28,22.79,True
morgan bertsch,2023,9,38.9,62285,117629.45,55344.45,88.86,True
dana evans,2021,9,38.71,61543,69972.66,8429.66,13.7,True
olivia nelson-ododa,2023,9,38.71,64657,117054.91,52397.91,81.04,True
arella guirantes,2021,9,38.59,61543,69755.75,8212.75,13.34,True
lindsay allen,2025,9,38.44,90000,155141.26,65141.26,72.38,True
nia coffey,2024,9,38.2,150000,130305.37,-19694.63,-13.13,False
rae burrell,2023,9,38.08,1219,115149.86,113930.86,9346.26,True
rae burrell,2023,9,38.08,34934,115149.86,80215.86,229.62,True
aaliyah edwards,2025,9,38.0,74909,153365.45,78456.45,104.74,True
sydney colson,2024,9,37.94,76535,129418.47,52883.47,69.1,True
lauren cox,2021,9,37.92,34315,68544.65,34229.65,99.75,True
kalani brown,2024,9,37.76,125000,128804.47,3804.47,3.04,True
crystal bradford,2021,9,37.74,58170,68219.28,10049.28,17.28,True
mercedes russell,2023,9,37.65,160000,113849.59,-46150.41,-28.84,False
julie vanloo,2025,9,37.61,66079,151791.43,85712.43,129.71,True
elizabeth williams,2021,9,37.61,119000,67984.29,-51015.71,-42.87,False
rebecca allen,2025,9,37.43,160000,151064.97,-8935.03,-5.58,False
maya caldwell,2023,9,37.3,68000,112791.22,44791.22,65.87,True
diamond miller,2025,9,37.21,83371,150177.06,66806.06,80.13,True
dorka juhász,2024,9,37.05,66597,126382.56,59785.56,89.77,True
olivia nelson-ododa,2022,9,36.89,63389,83942.31,20553.31,32.42,True
stephanie talbot,2024,9,36.64,115000,124984.0,9984.0,8.68,True
jisu park,2021,9,36.31,58170,65634.4,7464.4,12.83,True
emily engstler,2022,9,36.27,72141,82531.51,10390.51,14.4,True
bridget carleton,2023,9,36.22,91000,109525.42,18525.42,20.36,True
joyner holmes,2023,9,36.13,13569,109253.27,95684.27,705.17,True
joyner holmes,2023,9,36.13,60736,109253.27,48517.27,79.88,True
awak kuier,2023,9,36.1,78586,109162.55,30576.55,38.91,True
moriah jefferson,2021,9,36.09,175100,65236.72,-109863.28,-62.74,False
stefanie dolson,2025,9,36.05,170000,145495.38,-24504.62,-14.41,False
queen egbo,2023,9,35.97,67634,108769.44,41135.44,60.82,True
megan gustafson,2022,9,35.93,72141,81757.85,9616.85,13.33,True
jade melbourne,2023,9,35.93,62285,108648.49,46363.49,74.44,True
megan gustafson,2024,9,35.91,94000,122493.87,28493.87,30.31,True
tiffany mitchell,2025,9,35.63,40789,143800.29,103011.29,252.55,True
tiffany mitchell,2025,9,35.63,42397,143800.29,101403.29,239.18,True
theresa plaisance,2022,9,35.48,72141,80733.88,8592.88,11.91,True
nia coffey,2025,9,35.35,150000,142670.23,-7329.77,-4.89,False
elizabeth williams,2022,9,35.07,90000,79800.94,-10199.06,-11.33,False
sarah ashlee barker,2025,9,34.98,72455,141176.93,68721.93,94.85,True
megan walker,2021,9,34.84,65459,62977.21,-2481.79,-3.79,False
kia vaughn,2021,9,34.82,110000,62941.05,-47058.95,-42.78,False
haley peters,2025,9,34.78,78829,140369.74,61540.74,78.07,True
erica mccall,2021,9,34.77,72000,62850.67,-9149.33,-12.71,False
brianna turner,2023,10,34.7,150000,104929.1,-45070.9,-30.05,False
charli collier,2021,10,34.67,70040,62669.91,-7370.09,-10.52,False
emily engstler,2025,10,34.61,81079,139683.63,58604.63,72.28,True
mercedes russell,2024,10,34.57,160000,117922.95,-42077.05,-26.3,False
jantel lavender,2022,10,34.43,114000,78344.63,-35655.37,-31.28,False
stephanie talbot,2022,10,34.15,72141,77707.5,5566.5,7.72,True
diamond deshields,2024,10,34.05,100000,116149.16,16149.16,16.15,True
kia vaughn,2022,10,34.01,110000,77388.94,-32611.06,-29.65,False
dijonai carrington,2021,10,33.9,61543,61278.05,-264.95,-0.43,False
kiah stokes,2021,10,33.56,45000,60663.46,15663.46,34.81,True
kiah stokes,2021,10,33.56,35200,60663.46,25463.46,72.34,True
kiah stokes,2024,10,33.5,100000,114273.03,14273.03,14.27,True
rachel banham,2021,10,33.46,31702,60482.7,28780.7,90.79,True
rachel banham,2021,10,33.46,52042,60482.7,8440.7,16.22,True
natasha mack,2024,10,32.92,64154,112294.58,48140.58,75.04,True
te-hina paopao,2025,10,32.82,69267,132459.32,63192.32,91.23,True
kennedy burke,2024,10,32.78,76535,111817.02,35282.02,46.1,True
joyner holmes,2022,10,32.73,30535,74476.33,43941.33,143.9,True
joyner holmes,2022,10,32.73,14968,74476.33,59508.33,397.57,True
joyner holmes,2022,10,32.73,12573,74476.33,61903.33,492.35,True
olivia nelson-ododa,2024,10,32.64,71124,111339.46,40215.46,56.54,True
victoria vivians,2024,10,32.52,85000,110930.12,25930.12,30.51,True
victoria vivians,2024,10,32.52,76535,110930.12,34395.12,44.94,True
zia cooke,2024,10,32.45,69663,110691.34,41028.34,58.9,True
nyara sabally,2023,10,32.33,71300,97762.47,26462.47,37.11,True
sug sutton,2024,10,32.23,64154,109940.89,45786.89,71.37,True
stephanie talbot,2025,10,32.12,125000,129634.16,4634.16,3.71,True
stephanie talbot,2025,10,32.12,35110,129634.16,94524.16,269.22,True
cecilia zandalasini,2024,10,32.11,64154,109531.56,45377.56,70.73,True
sydney colson,2023,10,31.42,74305,95010.73,20705.73,27.87,True
natasha mack,2025,10,31.24,116079,126082.54,10003.54,8.62,True
amanda zahui b,2023,10,31.06,74305,93922.13,19617.13,26.4,True
maria kliundikova,2025,10,30.37,54418,122571.28,68153.28,125.24,True
dulcy fankam mendjiadeu,2023,10,30.23,65290,91412.3,26122.3,40.01,True
kierstan bell,2023,10,30.22,67634,91382.06,23748.06,35.11,True
rui machida,2022,10,30.22,60471,68764.88,8293.88,13.72,True
awak kuier,2022,10,30.09,71441,68469.07,-2971.93,-4.16,False
shatori walker-kimbrough,2025,10,29.83,150000,120391.88,-29608.12,-19.74,False
reshanda gray,2022,10,29.06,56427,66125.33,9698.33,17.19,True
kiah stokes,2023,10,28.87,81000,87299.8,6299.8,7.78,True
makayla timpson,2025,10,28.62,69267,115508.4,46241.4,66.76,True
kiah stokes,2025,10,27.89,103000,112562.17,9562.17,9.28,True
kennedy burke,2021,10,27.06,58710,48913.98,-9796.02,-16.69,False
didi richards,2021,10,26.64,61543,48154.79,-13388.21,-21.75,False
mikiah herbert harrigan,2024,10,26.01,64154,88723.63,24569.63,38.3,True
kadi sissoko,2023,10,25.45,62285,76958.09,14673.09,23.56,True
odyssey sims,2023,10,25.11,48460,75929.96,27469.96,56.69,True
odyssey sims,2023,10,25.11,4361,75929.96,71568.96,1641.11,True
nia clouden,2022,10,24.39,69446,55498.86,-13947.14,-20.08,False
lorela cubaj,2024,10,23.19,64154,79104.23,14950.23,23.3,True
shekinna stricklen,2021,10,17.98,175100,32500.87,-142599.13,-81.44,False
beatrice mompremier,2021,10,17.26,58710,31199.39,-27510.61,-46.86,False
cayla george,2023,10,0.0,74305,0.0,-74305.0,-100.0,False
