PLAYER,GP,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF,SALARY,Player_Comp_Share,Season
elizabeth williams,43,21.1,8.5,3.7,7.6,48,0,0,0,1.2,1.9,61.7,1.8,3.3,5.2,1.8,0.7,0.9,1.3,11.1,100000,0.001075268817,2025
olivia nelson-ododa,37,21.6,8.2,3.1,5.8,52.6,0,0.1,50,2.1,3,70.3,1.6,3.4,5,0.9,0.7,1.2,1.1,11.3,80823,0.0008690645161,2025
kennedy burke,36,21.6,8.1,2.8,6.1,46.8,1.3,3.1,41.4,1.1,1.5,75.9,0.6,1.8,2.4,1.3,0.8,0.4,0.9,8.4,78831,0.0008476451613,2025
ezi magbegor,44,27.3,8,3.2,6.5,49.3,0.3,1.1,29.2,1.3,1.9,68.7,1.9,4.3,6.2,2.1,0.7,2.2,1,14.3,186000,0.002,2025
jessica shepard,40,20.9,8,3.3,5.2,63.8,0,0,0,1.4,2.6,54.4,2.3,5,7.3,2.6,0.5,0.1,1.5,14,78831,0.0008476451613,2025
dominique malonga,42,14.3,7.7,3.5,6.3,55.1,0.1,0.4,22.2,0.7,1.2,56.9,1.3,3.4,4.6,0.9,0.4,0.7,1.1,9.8,78831,0.0008476451613,2025
monique akoa makani,41,21.5,7.7,2.8,6.5,43,1.2,3,39.8,0.9,1,92.7,0.6,1.6,2.2,2.7,0.8,0.1,1.3,8.4,66079,0.0007105268817,2025
aneesah morrow,41,18.9,7.7,2.7,7.3,37.5,0.4,1.8,24,1.8,2.3,75.8,2,4.8,6.9,0.5,0.8,0.4,1.1,10,79223,0.0008518602151,2025
nalyssa smith,45,21.2,7.6,3,5.9,50.2,0.2,0.6,29.6,1.5,2.4,61.1,1.6,3.5,5.1,0.7,0.6,0.6,1.1,9.6,91981,0.0009890430108,2025
myisha hines-allen,40,22.1,7.6,2.8,6.2,45,0.4,1.5,26.7,1.6,2.1,74.7,1.5,4.6,6,2.9,0.8,0.5,2.2,11.6,203000,0.002182795699,2025
aziaha james,38,17.7,7.5,2.8,7.5,37.3,0.8,2.9,28.6,1.1,1.4,74.5,0.9,2,2.9,1.6,0.6,0.2,1,6.7,72455,0.0007790860215,2025
temi fágbénlé,39,23.7,7.4,3.2,6.4,50.2,0.3,1.6,19.4,0.7,0.9,72.2,1.8,3.1,4.9,1.6,0.9,0.6,1.5,10.4,90000,0.0009677419355,2025
sug sutton,43,26.1,7.4,2.8,6.6,42.2,1,2.8,35.3,0.9,1.1,77.1,0.2,1.6,1.8,3.9,0.8,0.1,1.9,7.9,93831,0.001008935484,2025
carla leite,37,17.2,7.2,2.3,6,38.7,0.4,2,17.3,2.2,2.7,83.8,0.2,1.1,1.3,2,0.7,0.1,1.5,5.7,72455,0.000779086021,2025
lexie hull,44,27,7.2,2.7,6.8,39.5,1.3,3.4,36.7,0.6,0.8,72.2,1.4,2.9,4.3,1.8,1.2,0.2,0.9,9.4,88261,0.0009490430108,2025
kia nurse,44,21.9,7.2,2.3,6.6,35.4,1.4,4.1,33.5,1.1,1.4,79,0.4,1.9,2.3,1.3,0.3,0,1.3,5.3,145000,0.001559139785,2025
dana evans,44,17.7,6.6,2.4,6.3,38.9,0.8,2.3,36.6,0.9,1.2,75.5,0.2,0.9,1.1,2.2,0.4,0.1,0.8,5.4,89000,0.0009569892473,2025
bridget carleton,44,27.9,6.5,2.3,5.8,40.2,1.4,3.8,37.3,0.4,0.6,72,0.9,2.7,3.6,2,0.8,0.3,0.8,8.8,125000,0.001344086022,2025
jj quinerly,34,15.9,6.5,2.4,5.5,42.6,0.6,1.6,38.9,1.1,1.3,86.7,0.5,1.3,1.9,2.3,0.9,0.2,1.5,6.8,66079,0.0007105268817,2025
marine johannès,44,18.3,6.4,2.3,5.7,39.7,1.5,4.3,34.4,0.4,0.4,84.2,0.3,1.6,1.9,1.6,0.6,0.3,1.2,6,66079,0.0007105268817,2025
kaila charles,35,17.6,6.4,2.3,5.4,42,0.7,2.1,34.7,1.1,1.4,81.6,1.3,2.9,4.3,1,0.8,0.2,1.1,8.2,66079,0.0007105268817,2025
kate martin,42,16.4,6.2,2,6.3,32.3,1.4,4.4,31,0.8,1,78,0.5,2.2,2.7,1,0.4,0.1,0.8,5,68595,0.0007375806452,2025
li yueru,31,16.8,6,2,4.9,40.5,0.6,1.8,36.4,1.4,1.6,86,1.7,2.9,4.5,0.9,0.3,0.3,1,8,66079,0.0007105268817,2025
kitija laksa,33,19,5.9,2,5.5,36.7,1.2,3.6,31.7,0.8,1,81.3,0.3,0.9,1.2,0.6,0.4,0.2,0.6,4.1,80000,0.0008602150538,2025
jade melbourne,43,23.4,5.9,2.1,5.2,40,0.6,2.2,27.4,1.1,1.7,67.1,0.4,1.5,1.9,2.9,0.6,0.2,1.7,6.1,66710,0.000717311828,2025
michaela onyenwere,42,16.9,5.8,2.1,5,42.2,0.6,1.6,35.3,1,1.2,84.3,0.4,1.2,1.6,1.1,0.4,0.1,1.3,4.7,125000,0.001344086022,2025
te-hina paopao,43,16.7,5.8,2.2,5.1,44,1.2,3.1,38.6,0.2,0.3,53.8,0.2,1.4,1.6,2.4,0.5,0.2,1,6.5,69267,0.0007448064516,2025
maya caldwell,41,18.5,5.4,2,4.8,42.6,1,2.7,35.5,0.4,0.5,80,0.8,2.3,3.1,1.8,0.9,0.2,1,7.6,66079,0.0007105268817,2025
aaliyah edwards,36,14.8,5.4,1.9,4.3,44.8,0,0.3,0,1.6,2.4,64.4,1.3,2.4,3.7,0.6,0.6,0.4,1.1,6.3,74909,0.0008054731183,2025
julie allemand,34,28.3,5.4,2.1,4.7,44,0.8,3,27.7,0.4,0.6,78.9,0.4,3.4,3.7,5,1.3,0,1.6,11.2,85000,0.0009139784946,2025
