,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,#ERROR!,SALARY,Player_Comp_Share
1,Allen Iverson,PHI,31,2,1,1,25.8,26.5,8.5,16,53.1,2,6,33.3,7.5,9,83.3,0.5,1.5,2,2,2,1,0,1,32.9,0,0,1.5,16453125,0.003290625
2,Kobe Bryant,LAL,27,3,2,1,31.5,23.3,8.7,17.7,49.1,0,0.7,0,6,7,85.7,1,1.3,2.3,3.3,2.7,2.3,0,3.7,35.5,0,0,-5,15946875,0.003189375
3,Al Harrington,ATL,26,3,0,3,31.8,20.3,6.7,15,44.4,1.7,2.7,62.5,5.3,7.7,69.6,0.7,3.7,4.3,1.7,4,0.7,0.3,3.3,27,0,0,0.7,6975500,0.0013951
4,Carmelo Anthony,DEN,22,6,5,1,29.8,20.2,6.3,11.8,53.5,0.5,1.2,42.9,7,9.3,75,2.2,3.2,5.3,3.3,3.7,1.2,0.2,3.3,31.9,0,0,3,3713640,0.000742728
5,Yao Ming,HOU,25,5,4,1,26.7,19.4,6.6,12.8,51.6,0,0.2,0,6.2,7,88.6,1.4,4.6,6,0.8,2.6,0.8,1.2,3,31.2,0,0,0,5594906,0.0011189812
6,Lebron James,CLE,21,3,2,1,28.4,19.3,6.3,13,48.7,1,2.7,37.5,5.7,8.3,68,0.3,1.7,2,2,4.3,3,0.7,2.3,31.4,0,0,2,4621800,0.00092436
7,Shawn Marion,PHX,28,6,4,2,28,18.8,7.7,15.3,50,0.8,2.8,29.4,2.7,3,88.9,2.2,6,8.2,1.2,1.3,2,1.3,1.3,39.1,2,0,-0.3,13700000,0.00274
8,Ray Allen,SEA,30,6,2,4,24.7,18.5,6.2,12.2,50.7,1.8,4.7,39.3,4.3,4.3,100,0.7,1.5,2.2,2,1.5,0.5,0.3,1.5,25.1,0,0,2.3,13223140,0.002644628
9,Tim Duncan,SAS,30,4,0,4,23.3,18.3,6.8,12,56.3,0,0,0,4.8,6.5,73.1,3.3,5.8,9,1.3,2.3,0.3,1.3,2.5,33.2,2,0,-1.3,15845157,0.0031690314
10,Charlie Villanueva,TOR,21,5,3,2,31.4,18.2,6.8,13.4,50.7,1.8,3,60,2.8,5.4,51.9,2.2,3.4,5.6,1.4,0.8,1.2,1,3.2,32.8,0,0,5.8,2360880,0.000472176
