,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,#ERROR!,SALARY,Player_Comp_Share
11,Michael Redd,MIL,26,7,3,4,26.6,17.7,5.6,13.6,41.1,1.6,4.1,37.9,5,5.3,94.6,0.6,2.1,2.7,1.4,1.7,0.4,0,2,22.7,0,0,1.3,12000000,0.0024
12,John Salmons,PHI,26,5,2,3,32.1,17.6,5.6,12,46.7,0.6,1.6,37.5,5.8,8,72.5,1,2.4,3.4,4.6,3.8,1.6,0.4,2,30.8,0,0,1.4,1699001,0.0003398002
12,Shaquille O'Neal,MIA,34,5,1,4,26.4,17.6,7,13,53.8,0,0,0,3.6,8.4,42.9,2.2,6.4,8.6,1,2,0.2,0.8,4.2,30.4,1,0,-10,20000000,0.004
14,James Jones,PHX,25,6,4,2,31.1,17.5,6.3,14,45.2,3.5,8.3,42,1.3,1.7,80,0.5,3.2,3.7,1.7,0.7,0.5,0.7,2.2,27.2,0,0,5.2,2400000,0.00048
15,Gilbert Arenas,WAS,24,5,2,3,28.3,17.4,6,14.6,41.1,1.8,5.6,32.1,3.6,5,72,0.8,2.6,3.4,3.6,3.8,2,0.2,2.6,29.7,0,0,2,10243200,0.00204864
16,Jason Richardson,GSW,25,3,1,2,32.7,17.3,6.3,15,42.2,1.3,3.3,40,3.3,4.7,71.4,1.3,3.7,5,1.3,2.3,1,0.3,1,27,0,0,4,8888888,0.0017777776
17,Paul Pierce,BOS,28,8,3,5,25.7,16.6,4.9,8.9,54.9,0.5,1.4,36.4,6.4,7.8,82.3,0.8,4.4,5.1,4.1,1.8,0.6,0.3,2.5,29.8,1,0,4,13843156,0.0027686312
18,Metta World Peace,SAC,26,7,4,3,26.2,16.3,5.6,10.7,52,1.1,2.1,53.3,4,5.3,75.7,2.4,3.3,5.7,2.1,2,1.7,0,2.3,29.5,1,0,5.6,6842105,0.001368421
19,Dwyane Wade,MIA,24,5,2,3,27.6,16,4.8,11,43.6,0.4,1.8,22.2,6,8.2,73.2,0.2,2,2.2,2.8,3.8,1,0.2,2.2,22.6,0,0,-8,3031920,0.000606384
20,Dirk Nowitzki,DAL,28,7,6,1,29.2,15.7,5.1,12.4,41.4,0.6,2.1,26.7,4.9,5.3,91.9,0.9,5.1,6,2.4,2,1.9,1.3,2.4,34,1,0,6,13843156,0.0027686312
21,Kevin Garnett,MIN,30,3,1,2,25.1,15.7,6.3,12,52.8,0,0,0,3,4.3,69.2,3.3,5.7,9,3,1.3,0.7,0.3,2,32.6,1,0,3.3,18000000,0.0036
21,Rashard Lewis,SEA,26,6,2,4,27,15.7,6,11.8,50.7,1,2,50,2.7,3.7,72.7,1,2.5,3.5,1.5,1.8,1,0.3,1.8,24.3,0,0,0.5,9571429,0.0019142858
23,Corey Maggette,LAC,26,4,3,1,27.3,15.5,4.5,11.3,40,1.5,3.3,46.2,5,5,100,0.8,2.8,3.5,2,2.5,0.8,0.3,1.8,23.2,0,0,10.3,7000000,0.0014
23,Mike Dunleavy,GSW,25,4,1,3,30,15.5,5.3,11,47.7,2.3,5.8,39.1,2.8,3.5,78.6,0.8,4.3,5,1.8,0.8,0.3,0.3,2.8,24.9,0,0,2.3,4506261,0.0009012522
25,Kwame Brown,LAL,24,3,2,1,29.5,15.3,5.7,8,70.8,0,0,0,4,7.3,54.5,2.3,4,6.3,1.7,1.7,0.3,0.3,3.3,25.8,0,0,-4,7500000,0.0015
26,Baron Davis,GSW,27,4,1,3,27.6,15.3,5,11.5,43.5,1.8,5.5,31.8,3.5,3.8,93.3,0.8,3.5,4.3,8,3.3,1.3,0.5,2.5,34.4,1,0,0.3,13700000,0.00274
26,Sam Cassell,LAC,36,4,3,1,24.1,15.3,6.3,11.5,54.3,0,0,0,2.8,3.3,84.6,0,3.3,3.3,4.5,1.8,0.5,0.5,1.8,27.2,0,0,15.5,6187500,0.0012375
28,Tracy Mcgrady,HOU,27,5,4,1,22.4,15,4.6,10.8,42.6,1.2,1.8,66.7,4.6,6.4,71.9,0.2,2.8,3,2.8,2,1,0.6,1.4,25.6,0,0,4.6,15694250,0.00313885
28,Wally Szczerbiak,BOS,29,2,1,1,24.6,15,5.5,9,61.1,1,2,50,3,3,100,0,3,3,2,2,0,0,1.5,19.6,0,0,5,10500000,0.0021
30,T.J. Ford,MIL,23,6,2,4,29.3,14.8,5.2,11.2,46.3,0.3,0.7,50,4.2,5,83.3,0.7,2.3,3,5.8,4.5,2.2,0,3.3,29.2,1,0,0.3,2303040,0.000460608
31,Elton Brand,LAC,27,3,2,1,28,14.7,5,10.3,48.4,0,0,0,4.7,5.3,87.5,2,5.3,7.3,1.7,2,2,3.3,1.7,40,0,0,8.7,13152000,0.0026304
32,Dwight Howard,ORL,20,6,4,2,25.9,14.5,5,9.3,53.6,0,0,0,4.5,8.2,55.1,3.5,4.8,8.3,0.5,2.5,1.3,1.3,2.8,30.8,1,0,5,4493160,0.000898632
32,Jermaine O'Neal,IND,27,4,2,2,26.9,14.5,5,9.8,51.3,0,0,0,4.5,5.5,81.8,1.3,4.8,6,2.5,2.5,1,1,3.3,29,0,0,12,16440000,0.003288
32,Raja Bell,PHX,29,6,4,2,31.8,14.5,5.5,12.5,44,2.3,5.7,41.2,1.2,1.3,87.5,1.2,2.8,4,3,2.3,0.7,0,3.5,23.5,0,0,3.8,4250000,0.00085
35,Stromile Swift,HOU,26,5,4,1,26,14.2,5.4,8.6,62.8,0,0,0,3.4,5.4,63,2.4,4.2,6.6,1.2,2.8,0.4,2,3.8,28.3,0,0,10,5000000,0.001
36,Pau Gasol,MEM,25,7,5,2,28.3,14.1,5,10.1,49.3,0,0,0,4.1,6,69,0.9,5,5.9,2.4,1.3,1.1,1.3,2,30.8,0,0,9.9,10993000,0.0021986
37,Marc Jackson,NOK,31,6,4,2,26.2,14,4.2,8.5,49,0.2,0.2,100,5.5,6.3,86.8,1.5,3.2,4.7,1.7,2.3,0.5,0.5,3,22.8,0,0,0.2,4550000,0.00091
37,Vince Carter,NJN,29,7,5,2,24.7,14,4.6,8.7,52.5,0.4,1.6,27.3,4.4,6,73.8,0.9,2.9,3.7,2.4,2.9,1,0.7,2.4,24.4,0,0,6.6,13843156,0.0027686312
37,Zaza Pachulia,ATL,22,3,0,3,26.3,14,3.7,6,61.1,0,0,0,6.7,8,83.3,2.7,3.7,6.3,1.3,1.7,0.7,0,3.7,23.9,1,0,4,4000000,0.0008
40,Keyon Dooling,ORL,26,4,2,2,26.6,13.8,5,10,50,0,1,0,3.8,4.8,78.9,0,1.5,1.5,3.3,1.5,1.5,0,2.5,23.4,0,0,5,3100000,0.00062
41,Caron Butler,WAS,26,6,2,4,30.4,13.7,5.2,10.5,49.2,0,0.2,0,3.3,5.2,64.5,1.7,3.5,5.2,2,3.2,2.2,0.7,3.2,28.2,0,0,-7.7,2461617,0.0004923234
41,Kenyon Martin,DEN,28,3,2,1,28,13.7,5.7,12,47.2,0,0,0,2.3,3.3,70,0.7,3,3.7,0.3,1,0.3,1.3,3,22.6,0,0,5.3,10886364,0.0021772728
43,Bostjan Nachbar,NJN,25,4,2,2,22.4,13.3,4,7.8,51.6,2.3,5.3,42.9,3,3.5,85.7,0.3,1,1.3,1.5,1.3,0.5,0.8,3.5,19.5,0,0,5.5,2500000,0.0005
43,Darius Miles,POR,24,4,1,3,27.9,13.3,5.5,13,42.3,0.3,0.3,100,2,3.3,61.5,0.8,3.3,4,2,2,0.8,0,2,21.3,0,0,-11.5,7250000,0.00145
45,Richard Jefferson,NJN,26,7,5,2,25.8,13.1,4,9.9,40.6,0.3,1.6,18.2,4.9,6.3,77.3,0.9,3.1,4,2.9,2.4,1.6,0.1,2.6,24.9,0,0,3.4,10200000,0.00204
46,Cuttino Mobley,LAC,30,5,3,2,26.7,13,4.6,9.8,46.9,2,3.4,58.8,1.8,2.2,81.8,1.2,2.4,3.6,3.4,1.2,0.6,0.4,1.4,24.2,0,0,6,7241379,0.0014482758
46,Devean George,LAL,28,3,2,1,21,13,5.7,9,63,0,0.7,0,1.7,2,83.3,1,1.7,2.7,1.3,1.3,1.3,0.3,2.3,21.9,0,0,3.3,5000600,0.00100012
46,Joe Johnson,ATL,25,2,0,2,38.5,13,5,11,45.5,0,0.5,0,3,3,100,2,3,5,6,5,2,0.5,3,30.5,0,0,-7,12000000,0.0024
46,Josh Childress,ATL,23,3,0,3,34.9,13,5.3,9.7,55.2,0.3,0.3,100,2,3,66.7,3.3,2,5.3,1.3,2.7,1.3,0,3.3,22.7,0,0,-1.3,2677200,0.00053544
46,Nenad Krstic,NJN,22,6,5,1,26.4,13,4,6.5,61.5,0,0,0,5,7.7,65.2,1.8,4,5.8,0.8,0.8,1.3,0.3,3.7,25.4,0,0,5.3,1010040,0.000202008
46,Ricky Davis,MIN,26,8,3,5,27.7,13,4.5,10.3,43.9,0.8,2,37.5,3.3,5,65,0.5,1.8,2.3,3.5,2.9,1.6,0.3,1.5,23.7,0,0,2.5,5909800,0.00118196
46,Troy Murphy,GSW,26,3,1,2,29.6,13,4.7,14.3,32.6,1,3.3,30,2.7,3.7,72.7,2.3,7,9.3,1.7,2,0.7,0.7,3,28.7,2,0,2.7,7365079,0.0014730158
53,Jason Terry,DAL,28,7,5,2,26.4,12.9,4.6,10.4,43.8,1.7,3.3,52.2,2,2.6,77.8,0.4,1.9,2.3,3.6,2,1.7,0.6,2.7,25.8,0,0,-2.3,6666667,0.0013333334
54,Michael Sweetney,CHI,23,6,3,3,23.7,12.8,3.7,7.3,50,0,0,0,5.5,6.8,80.5,2.7,4.7,7.3,0.8,2.2,0.8,0.5,3.3,24.7,2,0,-0.8,2116920,0.000423384
55,Andre Iguodala,PHI,22,5,2,3,31.5,12.8,4.2,11,38.2,0.4,1.8,22.2,4,5.4,74.1,1,4.6,5.6,3.2,2.6,2,0.2,2,28.3,0,0,-4,2058000,0.0004116
55,Darius Songaila,CHI,28,5,3,2,20.5,12.8,5.6,9.4,59.6,0,0.2,0,1.6,2,80,1.2,3.4,4.6,1.4,1.6,0.2,0,3.4,19.4,0,0,-2.4,2200000,0.00044
57,Jr Smith,NOK,20,4,2,2,23.5,12.8,4,11.8,34,1.8,5.3,33.3,3,4.5,66.7,0.8,2.5,3.3,1.3,2,0.8,0,2,18.8,0,0,4.3,1297080,0.000259416
57,Josh Howard,DAL,26,8,6,2,30.4,12.8,5.1,11.3,45.6,0.5,1,50,2,3.1,64,1.5,4.1,5.6,1.3,1.6,1.4,0.5,2.6,25.4,0,0,0.9,923880,0.000184776
59,Zydrunas Ilgauskas,CLE,31,6,3,3,20.2,12.7,4,7.8,51.1,0,0,0,4.7,5.2,90.3,2.3,2.2,4.5,0.7,1.7,0.7,1.2,3.7,22.9,0,0,-2.2,8743238,0.0017486476
60,Emeka Okafor,CHA,23,4,3,1,33.2,12.5,4.5,9.5,47.4,0,0,0,3.5,5.3,66.7,2.5,5.8,8.3,0.8,2,1.3,1.3,3.8,29,0,0,1.3,4020120,0.000804024
60,Josh Smith,ATL,20,2,0,2,27.9,12.5,5.5,9.5,57.9,0,0,0,1.5,3.5,42.9,1.5,2,3.5,3,2.5,1,1.5,1.5,26.2,0,0,1,1560000,0.000312
62,Drew Gooden,CLE,24,5,3,2,24.6,12.4,4.2,7,60,0,0,0,4,5.6,71.4,3,3.8,6.8,0.4,2.2,1,1.2,2.8,25.6,0,0,-2.2,4065811,0.0008131622
63,Matt Carroll,CHA,25,3,1,2,23.2,12.3,3.7,8.7,42.3,1.7,3.7,45.5,3.3,4.7,71.4,0.7,1,1.7,1.3,0.3,1,0,2.7,19,0,0,-4.7,1100000,0.00022
64,Nene,DEN,23,5,5,0,22.8,12.2,4.8,7.2,66.7,0,0,0,2.6,4.4,59.1,1,4.4,5.4,1,2,0.8,0.6,3.6,22.4,0,0,5.4,,
65,Marquis Daniels,DAL,25,8,6,2,26.5,12.1,5.4,9.5,56.6,0,0.3,0,1.4,2.4,57.9,1.5,2.5,4,2.4,1.8,2.1,0.4,1.9,26.2,0,0,-1,5393300,0.00107866
66,Chris Webber,PHI,33,1,0,1,33.7,12,4,16,25,0,0,0,4,6,66.7,3,5,8,2,2,5,0,5,37.6,0,0,-3,19125000,0.003825
66,Grant Hill,ORL,33,3,1,2,24.3,12,4,8,50,0.3,0.3,100,3.7,4.7,78.6,0.7,2,2.7,1,3.3,1.3,0.3,2.7,18.4,0,0,-4.3,15694250,0.00313885
66,Rashad Mccants,MIN,21,6,2,4,22.2,12,4.8,9.5,50.9,1,2.2,46.2,1.3,2.5,53.3,0.5,1.7,2.2,1,1.3,0.7,0.5,4.5,18.3,0,0,3.7,1538400,0.00030768
69,Voshon Lenard,POR,33,6,5,1,26.5,11.8,4.8,11.8,40.8,0.8,2.7,31.3,1.3,1.5,88.9,1,2.8,3.8,1.5,0.5,1,0.2,2.2,21.7,0,0,1.5,3520000,0.000704
70,Chucky Atkins,MEM,31,7,2,5,25.1,11.7,3.7,7.7,48.1,1.1,2.6,44.4,3.1,4.4,71,0.4,2.1,2.6,1.7,2.1,0.9,0,1.6,17.8,0,0,-6,4500000,0.0009
70,Desmond Mason,NOK,28,7,3,4,27.2,11.7,4,9.1,43.8,0,0,0,3.7,5,74.3,0.4,2.7,3.1,0.9,1.9,0.6,0,2,16.6,0,0,-2.1,7233333,0.0014466666
72,Mehmet Okur,UTA,27,5,1,4,24,11.6,4.2,9.2,45.7,0.2,0.6,33.3,3,3.8,78.9,2.2,4.2,6.4,1.2,2.6,0.2,0.8,2.8,21.5,0,0,-7.2,8250000,0.00165
73,Shane Battier,MEM,27,7,5,2,26.3,11.6,3.1,5.4,57.9,1.3,2,64.3,4,5.6,71.8,0.7,2.6,3.3,1,0.4,0.9,0.4,2.3,20.4,0,0,7.4,4903000,0.0009806
74,Jamal Crawford,NYK,26,6,2,4,31.9,11.5,4.5,9.8,45.8,1,2.8,35.3,1.5,1.8,81.8,0.2,3.2,3.3,4.2,2.2,1.3,0,2.2,23.6,0,0,-2,6480000,0.001296
74,Mark Blount,MIN,30,8,3,5,23.2,11.5,4.8,7.3,65.5,0,0,0,2,2.8,72.7,1.3,3.5,4.8,1.6,2.8,0.5,0.6,2.5,20.3,1,0,4.5,5515875,0.001103175
74,Nate Robinson,NYK,22,6,2,4,24.6,11.5,3.3,7.8,42.6,0.2,0.8,20,4.7,5.5,84.8,0.8,3.5,4.3,3.2,2.5,2,0,3.3,25,0,0,4,1102680,0.000220536
77,Michael Olowokandi,BOS,31,5,2,3,21.7,11.4,4.8,10.4,46.2,0,0,0,1.8,2.2,81.8,0.8,5.4,6.2,0.2,1.8,0.6,1.8,1.8,24.5,0,0,-2.8,5900400,0.00118008
78,Bobby Simmons,MIL,26,8,3,5,26.1,11.4,4,8.8,45.7,0.8,1.4,54.5,2.6,3.1,84,1.8,3.8,5.5,1,0.6,1.3,0,2.6,22.6,0,0,2.3,8000000,0.0016
79,Primoz Brezec,CHA,26,3,1,2,27.6,11.3,5,9.7,51.7,0,0,0,1.3,2,66.7,2.3,3,5.3,1,1.7,0.7,1,3.3,22.6,0,0,-6.3,2750000,0.00055
80,Andre Miller,DEN,30,7,6,1,25.6,11.3,3.7,7.3,51,0,0,0,3.9,5,77.1,0.7,4.3,5,4.9,3.9,2.4,0.3,2,28.9,1,0,5,8100000,0.00162
81,Brad Miller,SAC,30,5,3,2,22.1,11.2,4.6,8.2,56.1,0.2,0.2,100,1.8,2,90,1.8,3.6,5.4,2.2,2,1.2,0.8,2,25,0,0,4.2,8750000,0.00175
81,Earl Boykins,DEN,30,5,5,0,24.8,11.2,3.2,7.4,43.2,0.8,1.8,44.4,4,4.4,90.9,0.2,0.8,1,4.4,2,0.4,0,2,18.2,0,0,3.8,2750000,0.00055
81,Kyle Korver,PHI,25,5,2,3,30.9,11.2,4,11.8,33.9,2.4,7.2,33.3,0.8,1.2,66.7,0,5.2,5.2,3.6,2.8,1.4,0.4,2.4,25.4,0,0,3,3636364,0.0007272728
84,Brevin Knight,CHA,30,6,3,3,24.6,11,4,8.3,48,0,0.2,0,3,3.2,94.7,0.7,2.8,3.5,6.3,1.8,1.7,0,2,27.9,0,0,1.2,4600000,0.00092
84,Deron Williams,UTA,22,5,1,4,20,11,3.8,7.4,51.4,1.2,2.2,54.5,2.2,3.2,68.8,0.2,1.4,1.6,4.8,1.8,0.4,0,2.4,19.5,0,0,-5.4,3487440,0.000697488
84,Kevin Ollie,PHI,33,2,1,1,26.2,11,3.5,6,58.3,0,0.5,0,4,4.5,88.9,0,1.5,1.5,5.5,2.5,4,0,3,30.6,0,0,5,2950200,0.00059004
84,Larry Hughes,CLE,27,5,3,2,23.7,11,3.8,10.6,35.8,0.4,1.6,25,3,4.6,65.2,1.8,2,3.8,2.8,2.2,1.4,0,2.4,21.8,0,0,2,10344900,0.00206898
84,Richard Hamilton,DET,28,6,3,3,24.7,11,4,8.7,46.2,0,0.2,0,3,4,75,1.7,1.2,2.8,2.7,2,1,0,2.7,19.4,0,0,1.3,8125000,0.001625
84,Ruben Patterson,DEN,30,4,1,3,23.4,11,3.5,8.3,42.4,0,0,0,4,4.8,84.2,1.5,2,3.5,1.3,1.5,1.5,0.3,1,20.8,0,0,-7.5,6353200,0.00127064
90,Chauncey Billups,DET,29,6,3,3,25.1,10.8,3.3,9.8,33.9,1.7,3.8,43.5,2.5,2.8,88.2,0.5,1.7,2.2,4.5,1.7,0.8,0,2,21,0,0,1.3,5909800,0.00118196
90,Eddy Curry,NYK,23,6,2,4,17.3,10.8,3.7,5.5,66.7,0,0,0,3.5,6.5,53.8,1.7,2.5,4.2,0.2,3.3,0.5,0.7,3.3,16.3,0,0,-3.3,7394663,0.0014789326
90,Hedo Turkoglu,ORL,27,6,4,2,26.4,10.8,4,9.5,42.1,2.2,5,43.3,0.7,1,66.7,1,3.2,4.2,2.3,1.7,1.2,0.3,3,22.2,0,0,1.7,5393300,0.00107866
93,Deshawn Stevenson,ORL,25,5,4,1,23.4,10.8,3.2,7,45.7,0,0.6,0,4.4,5.8,75.9,0.6,3.4,4,0.8,1.6,1.4,0.2,1.8,20,0,0,8,2750000,0.00055
93,Raymond Felton,CHA,22,5,3,2,24.3,10.8,3.4,8.8,38.6,1.6,5,32,2.4,4.4,54.5,0.2,2.8,3,3.8,2.6,1,0,2.2,20.5,1,0,0.2,2847360,0.000569472
93,Steve Nash,PHX,32,5,3,2,26.5,10.8,4,8.2,48.8,0.6,2,30,2.2,2.4,91.7,0.8,2,2.8,8.6,4,0.6,0.2,2.6,25.5,0,0,4.6,9625000,0.001925
93,Tony Parker,SAS,24,5,0,5,22.9,10.8,4,9,44.4,0,0.2,0,2.8,4.2,66.7,1,2.2,3.2,3.8,2.4,0.6,0,1.6,19.7,0,0,-2.8,8400000,0.00168
97,Antoine Walker,MIA,29,6,2,4,23.5,10.7,4.2,10.8,38.5,1,3.8,26.1,1.3,3,44.4,0.8,3.8,4.7,2.3,3,1.8,0,2.5,22.3,0,0,-3.2,6884000,0.0013768
97,Kirk Hinrich,CHI,25,6,3,3,24.3,10.7,3.5,7.2,48.8,1,2.2,46.2,2.7,3.7,72.7,0,2.3,2.3,4,2,1.5,0,2.8,22,0,0,-2.7,2513880,0.000502776
99,Peja Stojakovic,IND,29,5,3,2,25.6,10.6,3.2,9.2,34.8,1,4.2,23.8,3.2,3.6,88.9,0.4,2.4,2.8,2.6,0.8,0.6,0,1.2,18.9,0,0,3,7525000,0.001505
100,Chris Paul,NOK,21,4,2,2,24.8,10.5,3.5,7.5,46.7,1.5,2.8,54.5,2,2.5,80,0.8,3,3.8,6.5,1.5,2.8,0,2.5,31.5,1,0,3,3144240,0.000628848
100,Dermarr Johnson,DEN,26,6,5,1,20.7,10.5,3.5,8.2,42.9,1.2,3.7,31.8,2.3,2.7,87.5,0.7,2.2,2.8,1,1.5,0.2,1,2.3,17.4,0,0,4.5,719373,0.0001438746
100,Melvin Ely,CHA,28,4,2,2,24,10.5,4.3,8.8,48.6,0,0,0,2,2.8,72.7,1.5,3.8,5.3,1,2.8,0.5,1.3,3.5,20.8,1,0,5,2401027,0.0004802054
103,Chris Bosh,TOR,22,5,3,2,23.4,10.4,3.4,9.6,35.4,0,0.4,0,3.6,4.8,75,1.4,3.6,5,1.6,2,1.6,1.4,2.4,25.8,0,0,0.8,3348000,0.0006696
104,Stephen Jackson,IND,28,8,5,3,24.4,10.4,3.8,8.4,44.8,1,2.1,47.1,1.9,2.5,75,0.3,1.5,1.8,1.6,1.4,0.6,0.4,2.4,16.5,0,0,4.1,5610000,0.001122
105,Charlie Bell,MIL,27,8,3,5,21.1,10.3,3.8,8,46.9,0.9,2.1,41.2,1.9,2.5,75,0.5,1.8,2.3,1.8,1,0.6,0,2.5,16.5,0,0,1,641748,0.0001283496
105,Jamaal Magloire,MIL,28,4,2,2,23.5,10.3,4.3,7,60.7,0,0,0,1.8,3.5,50,3.3,6.8,10,1,2.5,0,0.8,3.5,23.5,1,0,10.8,8333334,0.0016666668
107,Shareef Abdur-Rahim,SAC,29,5,3,2,23.7,10.2,3.2,6.4,50,0,0.4,0,3.8,4.4,86.4,1.4,1.8,3.2,3,1.8,0.6,0.4,2.8,19.7,0,0,7.8,5000000,0.001
108,Channing Frye,NYK,23,6,2,4,19.2,10.2,4.3,8.7,50,0,0,0,1.5,2.8,52.9,1.5,3,4.5,0.8,1,0.8,0.8,3.7,20.8,0,0,3.2,2162880,0.000432576
108,Tayshaun Prince,DET,26,6,3,3,24.9,10.2,3.7,8.8,41.5,0.8,1.8,45.5,2,2.3,85.7,1.3,2.3,3.7,1.3,0.5,0.2,0.2,0.2,17.1,0,0,1.5,1763115,0.000352623
110,Eddie Jones,MEM,34,7,5,2,24.2,10.1,3.4,9.6,35.8,1.7,4.9,35.3,1.6,1.7,91.7,0.9,2.9,3.7,1.9,2.6,1.9,0.3,3,21.2,0,0,4.4,14666250,0.00293325
111,Austin Croshere,IND,31,8,5,3,20.5,10.1,2.6,5.3,50,0.4,1.1,33.3,4.5,4.6,97.3,1,2.4,3.4,0.5,1,0.5,0.1,2,15.8,0,0,1.1,7900000,0.00158
112,Jermaine Jackson,MIL,30,1,0,1,21.5,10,3,4,75,0,1,0,4,5,80,0,1,1,2,2,1,0,3,15.2,0,0,2,696508,0.0001393016
112,Keith Van Horn,DAL,30,7,6,1,23.2,10,3.7,7.6,49.1,1,2,50,1.6,2.1,73.3,0.9,2,2.9,1,1.9,0.7,0.7,1.7,17.4,0,0,0.1,15694250,0.00313885
112,Luke Ridnour,SEA,25,6,2,4,23.2,10,3.7,8.3,44,0.7,1,66.7,2,2.3,85.7,0.7,2.3,3,5.2,1.7,1.5,0.3,2.2,25.2,1,0,1.2,1638000,0.0003276
112,Mike Miller,MEM,26,5,4,1,24.2,10,3.4,7.8,43.6,2.2,4.8,45.8,1,1.2,83.3,0,3.4,3.4,1.8,2,0.6,0,2,16.6,0,0,2.2,6871431,0.0013742862
112,Mo Williams,MIL,23,7,2,5,23.1,10,4,9.7,41.2,0.9,1.9,46.2,1.1,1.6,72.7,0.4,0.7,1.1,3.6,1.7,0.7,0.3,1.7,18,0,0,1.4,1760000,0.000352
112,Quentin Richardson,NYK,26,1,0,1,12.4,10,4,7,57.1,2,3,66.7,0,0,0,0,3,3,0,3,1,0,1,13.6,0,0,-9,6945500,0.0013891
112,Sean May,CHA,22,1,1,0,18.3,10,3,11,27.3,0,0,0,4,5,80,2,6,8,0,0,0,1,4,22.6,0,0,9,1619280,0.000323856
112,Smush Parker,LAL,25,3,2,1,22.8,10,3.7,7.7,47.8,0.7,2.7,25,2,3,66.7,1,1.7,2.7,2.3,3,1,0.7,2.7,18.7,0,0,-3,745248,0.0001490496
112,Steve Francis,NYK,29,5,4,1,26.3,10,3,7.8,38.5,0,1,0,4,5,80,0.8,1.8,2.6,6,4.6,1.4,0,2.2,21.7,0,0,4.6,13700000,0.00274
112,Zoran Planinic,NJN,23,4,4,0,18.2,10,3.5,6,58.3,0.3,1,25,2.8,4.8,57.9,0.3,2,2.3,1.3,1.5,0.8,0,1.5,15.3,0,0,4.8,1127280,0.000225456
122,Chris Wilcox,SEA,23,6,4,2,26,9.8,3.8,7,54.8,0,0.2,0,2.2,3.3,65,2.2,4,6.2,0.8,1.2,0.2,0.5,3.5,19.3,0,0,5,2812239,0.0005624478
123,Andrei Kirilenko,UTA,25,5,1,4,24.4,9.8,2.8,8,35,0.2,1,20,4,5,80,1.8,3.8,5.6,1.8,2.2,1,1.8,1.6,25.4,0,0,-5.6,10983000,0.0021966
123,Leandro Barbosa,PHX,23,5,4,1,25,9.8,3.8,8.6,44.2,1.2,3.4,35.3,1,1,100,0,3,3,3.4,1.8,1.2,0.2,3,20.9,0,0,1.2,930600,0.00018612
125,Danny Granger,IND,23,7,5,2,26,9.7,3,8,37.5,0.3,1.1,25,3.4,4.6,75,2.3,4.4,6.7,1.6,1.9,0.9,1,3,23.8,2,0,7.3,1318920,0.000263784
126,Bonzi Wells,SAC,29,5,3,2,23.2,9.6,3.8,7.8,48.7,0.2,1,20,1.8,2.2,81.8,1.2,3.2,4.4,1.6,1.4,1.4,0.4,2.8,21.3,0,0,5.8,8000000,0.0016
