Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,#ERROR!,SALARY,Player_Comp_Share
18,David Lee,GSW,30,79,46,33,36.8,18.5,7.6,14.7,51.9,0,0.1,0,3.2,4.1,79.7,2.8,8.5,11.2,3.5,2.6,0.8,0.3,3.1,38,56,1,2.2,12744000,0.005479876161
19,Kevin Love,MIN,24,18,9,9,34.3,18.3,5.8,16.6,35.2,1.1,5.1,21.7,5.6,7.9,70.4,3.6,10.4,14,2.3,2.2,0.7,0.5,1.9,40.1,14,0,0.1,13668750,0.00587751548
20,Rudy Gay,TOR,26,75,46,29,35.8,18.2,6.9,16.7,41.6,1.1,3.5,32.3,3.2,3.9,81.4,1.3,4.8,6.1,2.7,2.6,1.5,0.7,2.4,33.6,6,0,2.9,16460538,0.007077974716
21,DeMar DeRozan,TOR,23,82,34,48,36.7,18.1,6.7,15,44.5,0.4,1.5,28.3,4.3,5.2,83.1,0.6,3.3,3.9,2.5,1.8,0.9,0.3,2.1,28.3,0,0,-1.4,3344250,0.001438015996
22,JR Smith,NYK,27,80,53,27,33.5,18.1,6.6,15.6,42.2,1.9,5.5,35.6,3,3.9,76.2,0.8,4.5,5.3,2.7,1.7,1.3,0.3,2.8,31.5,8,0,3.7,2806452,0.001206764706
23,Blake Griffin,LAC,24,80,55,25,32.5,18,7.2,13.4,53.8,0.1,0.4,17.9,3.5,5.3,66,2.3,6,8.3,3.7,2.3,1.2,0.6,2.9,36.7,28,1,4.8,13701250,0.005891490368
24,Al Jefferson,UTA,28,78,41,37,33.1,17.8,7.8,15.8,49.4,0,0.2,11.8,2.1,2.8,77,2,7.2,9.2,2.1,1.3,1,1.1,2.2,37.2,37,0,-2,13500000,0.00580495356
25,Tim Duncan,SAS,37,69,50,19,30.1,17.8,7.1,14.1,50.2,0,0.1,28.6,3.6,4.3,81.7,1.8,8.1,9.9,2.7,2.1,0.7,2.7,1.7,41.7,36,0,6.7,9638554,0.004144545064
26,Kemba Walker,CHA,23,82,21,61,34.9,17.7,6.4,15.2,42.3,1.3,4,32.2,3.6,4.5,79.8,0.7,2.7,3.5,5.7,2.4,2,0.4,1.9,35.1,5,0,-5.7,2568360,0.001104385965
27,Jrue Holiday,PHI,23,78,34,44,37.5,17.7,7.1,16.5,43.1,1.2,3.2,36.8,2.3,3.1,75.2,1.1,3.1,4.2,8,3.7,1.6,0.4,2.2,37,20,1,-1.6,2674852,0.001150177159
28,Brandon Jennings,MIL,23,80,38,42,36.2,17.5,6.2,15.6,39.9,2.2,5.8,37.5,2.9,3.5,81.9,0.7,2.3,3.1,6.5,2.5,1.6,0.1,1.9,33.4,13,0,-3.6,3179493,0.001367171053
29,Josh Smith,ATL,27,76,40,36,35.3,17.5,7.2,15.6,46.5,0.8,2.6,30.3,2.2,4.2,51.7,1.8,6.7,8.4,4.2,3,1.2,1.8,2.3,40,29,0,1.1,13200000,0.005675954592
30,Paul George,IND,23,79,48,31,37.6,17.4,6.2,14.9,41.9,2.2,5.9,36.2,2.8,3.5,80.7,1.1,6.5,7.6,4.1,2.9,1.8,0.6,2.9,37.2,23,1,4.6,2574120,0.001106862745
31,Al Horford,ATL,27,74,42,32,37.2,17.4,7.8,14.3,54.3,0,0.1,50,1.8,2.8,64.4,2.6,7.6,10.2,3.2,2,1.1,1.1,2.2,38.9,43,0,2.2,12000000,0.00515995872
32,Dirk Nowitzki,DAL,35,53,28,25,31.3,17.3,6.5,13.7,47.1,1.2,3,41.4,3.1,3.6,86,0.7,6.2,6.8,2.5,1.3,0.7,0.7,1.8,32.2,6,0,1.1,20907128,0.00898999312
33,David West,IND,32,73,43,30,33.4,17.1,6.9,13.8,49.8,0.1,0.3,21.1,3.3,4.3,76.8,2,5.7,7.7,2.9,2.2,1,0.9,2,34.5,16,1,5,10000000,0.0042999656
34,DeMarcus Cousins,SAC,22,75,26,49,30.5,17.1,6.4,13.8,46.5,0.1,0.3,18.2,4.2,5.6,73.8,3,7,9.9,2.7,3,1.4,0.7,3.6,36.5,35,1,-4,3880800,0.00166873065
35,Dwight Howard,LAL,27,76,42,34,35.8,17.1,6.2,10.7,57.8,0,0.1,16.7,4.7,9.5,49.2,3.3,9.1,12.4,1.4,3,1.1,2.4,3.8,41.8,48,0,1.8,,
36,Eric Gordon,NOH,24,42,16,26,30.1,17,5.6,13.9,40.2,1.3,4.1,32.4,4.5,5.3,84.2,0.2,1.6,1.8,3.3,2.8,1.1,0.2,1.8,25.1,0,0,-0.9,13668750,0.00587751548
