PLAYER,Season,Tier,Performance_Index
jordin canada,2022,4,58.83
alyssa thomas,2024,4,58.77
sue bird,2021,4,58.43
leonie fiebich,2025,4,58.16
stefanie dolson,2022,4,57.91
karlie samuelson,2024,4,57.79
karlie samuelson,2023,4,57.77
karlie samuelson,2023,4,57.77
sophie cunningham,2024,4,57.62
alanna smith,2024,4,57.61
victoria vivians,2022,4,57.58
natasha howard,2025,4,57.41
tyasha harris,2024,4,57.39
kayla thornton,2022,4,57.39
rachel banham,2025,4,57.37
dijonai carrington,2025,5,57.1
kamilla cardoso,2024,5,57.08
sami whitcomb,2023,5,57.03
teaira mccowan,2021,5,57.0
stefanie dolson,2021,5,56.88
naz hillmon,2025,5,56.71
sami whitcomb,2025,5,56.57
kayla thornton,2021,5,56.45
bridget carleton,2024,5,56.43
kia nurse,2021,5,56.38
crystal dangerfield,2023,5,56.13
sug sutton,2023,5,56.09
monique akoa makani,2025,5,55.98
briann january,2021,5,55.9
stefanie dolson,2024,5,55.89
dana evans,2023,5,55.86
brianna turner,2021,5,55.77
amanda zahui b,2021,5,55.74
dearica hamby,2021,5,55.63
isabelle harrison,2022,5,55.55
dana evans,2024,5,55.47
shatori walker-kimbrough,2023,5,55.32
dearica hamby,2022,5,55.3
brittney griner,2025,5,55.2
erica wheeler,2022,5,55.18
ezi magbegor,2022,5,55.14
teaira mccowan,2023,5,54.98
azurá stevens,2022,5,54.84
danielle robinson,2022,5,54.61
michaela onyenwere,2021,5,54.45
saniya rivers,2025,5,54.18
courtney williams,2023,5,54.17
natisha hiedeman,2022,5,54.14
michaela onyenwere,2023,5,54.0
elizabeth williams,2023,5,53.93
gabby williams,2022,5,53.64
jantel lavender,2021,5,53.62
odyssey sims,2021,5,53.56
odyssey sims,2021,5,53.56
nia coffey,2021,5,53.5
monique billings,2024,5,53.42
monique billings,2024,5,53.42
monique billings,2024,5,53.42
jessica shepard,2022,5,53.28
jacy sheldon,2024,5,53.27
tiffany mitchell,2023,5,53.22
shatori walker-kimbrough,2022,5,53.19
crystal dangerfield,2021,5,53.18
alanna smith,2023,5,53.06
rebekah gardner,2022,5,52.66
bria hartley,2025,5,52.61
te'a cooper,2021,5,52.6
myisha hines-allen,2024,6,52.43
victoria vivians,2021,6,52.3
natisha hiedeman,2023,6,52.21
ezi magbegor,2025,6,51.88
mercedes russell,2021,6,51.71
myisha hines-allen,2025,6,51.39
tianna hawkins,2023,6,51.37
sug sutton,2025,6,51.35
sami whitcomb,2022,6,51.21
shatori walker-kimbrough,2024,6,51.19
nalyssa smith,2024,6,51.19
dearica hamby,2023,6,51.14
damiris dantas,2021,6,51.0
aneesah morrow,2025,6,50.88
azurá stevens,2021,6,50.84
lindsay allen,2024,6,50.66
