Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,#ERROR!,Salary,Player_Comp_Share
1,Russell Westbrook,OKC,28,81,46,35,34.6,31.6,10.2,24,42.5,2.5,7.2,34.3,8.8,10.4,84.5,1.7,9,10.7,10.4,5.4,1.6,0.4,2.3,60.6,62,42,3.1,26540100,0.00706097853
2,James Harden,HOU,27,81,54,27,36.4,29.1,8.3,18.9,44,3.2,9.3,34.7,9.2,10.9,84.7,1.2,7,8.1,11.2,5.7,1.5,0.5,2.7,55.8,64,22,5.2,26540100,0.00706097853
3,Isaiah Thomas,BOS,28,76,51,25,33.8,28.9,9,19.4,46.3,3.2,8.5,37.9,7.8,8.5,90.9,0.6,2.1,2.7,5.9,2.8,0.9,0.2,2.2,41.5,5,0,3.6,6587132,0.001752502727
4,Anthony Davis,NOP,24,75,31,44,36.1,28,10.3,20.3,50.5,0.5,1.8,29.9,6.9,8.6,80.2,2.3,9.5,11.8,2.1,2.4,1.3,2.2,2.2,53.3,49,0,0.7,22116750,0.005884148775
5,DeMar DeRozan,TOR,27,74,47,27,35.4,27.3,9.7,20.9,46.7,0.4,1.7,26.6,7.4,8.7,84.2,0.9,4.3,5.2,3.9,2.4,1.1,0.2,1.8,40.7,5,0,2,26540100,0.00706097853
6,Damian Lillard,POR,26,75,38,37,35.9,27,8.8,19.8,44.4,2.9,7.7,37,6.5,7.3,89.5,0.6,4.3,4.9,5.9,2.6,0.9,0.3,2,42.6,11,0,1.1,24328425,0.006472563652
7,DeMarcus Cousins,NOP,26,72,30,42,34.2,27,9,19.9,45.2,1.8,5,36.1,7.2,9.3,77.2,2.1,8.9,11,4.6,3.7,1.4,1.3,3.9,51.4,46,2,-0.3,16957900,0.004511639663
8,LeBron James,CLE,32,74,51,23,37.8,26.4,9.9,18.2,54.8,1.7,4.6,36.3,4.8,7.2,67.4,1.3,7.3,8.6,8.7,4.1,1.2,0.6,1.8,51.3,42,13,6.5,30963450,0.008237808285
9,Kawhi Leonard,SAS,26,74,54,20,33.4,25.5,8.6,17.7,48.5,2,5.2,38,6.3,7.2,88,1.1,4.7,5.8,3.5,2.1,1.8,0.7,1.6,43.3,9,0,5.9,17638063,0.004692596642
10,Stephen Curry,GSW,29,79,65,14,33.4,25.3,8.5,18.3,46.8,4.1,10,41.1,4.1,4.6,89.8,0.8,3.7,4.5,6.6,3,1.8,0.2,2.3,43.6,9,0,12.8,12112359,0.003222486232
11,Kyrie Irving,CLE,25,72,47,25,35.1,25.2,9.3,19.7,47.3,2.5,6.1,40.1,4.1,4.6,90.5,0.7,2.5,3.2,5.8,2.5,1.2,0.3,2.2,39.7,8,0,4.6,17638063,0.004692596642
12,Karl-Anthony Towns,MIN,21,82,31,51,37,25.1,9.8,18,54.2,1.2,3.4,36.7,4.3,5.2,83.2,3.6,8.7,12.3,2.7,2.6,0.7,1.3,2.9,47.1,62,1,-0.3,5960160,0.001585697183
13,Kevin Durant,GSW,28,62,51,11,33.4,25.1,8.9,16.5,53.7,1.9,5,37.5,5.4,6.2,87.5,0.6,7.6,8.3,4.8,2.2,1.1,1.6,1.9,48,23,1,11.5,26540100,0.00706097853
14,Jimmy Butler III,CHI,27,76,40,36,37,23.9,7.5,16.5,45.5,1.2,3.3,36.7,7.7,8.9,86.5,1.7,4.5,6.2,5.5,2.1,1.9,0.4,1.5,44.4,15,2,2.7,17552209,0.004669755235
15,Paul George,IND,27,75,39,36,35.9,23.7,8.3,18,46.1,2.6,6.6,39.3,4.5,5,89.8,0.8,5.8,6.6,3.3,2.9,1.6,0.4,2.7,39.5,11,0,2.2,18314532,0.004872570836
16,Andrew Wiggins,MIN,22,82,31,51,37.2,23.6,8.6,19.1,45.2,1.3,3.5,35.6,5,6.6,76,1.2,2.8,4,2.3,2.3,1,0.4,2.2,33.6,1,0,-0.2,6006600,0.001598052518
17,Kemba Walker,CHA,27,79,36,43,34.7,23.2,8.1,18.3,44.4,3,7.6,39.9,3.8,4.5,84.7,0.6,3.3,3.9,5.5,2.1,1.1,0.3,1.5,38,8,0,2.4,12000000,0.003192593184
