,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,#ERROR!,SALARY,Player_Comp_Share
168,Yi Jianlian,MIL,20,66,24,42,24.9,8.6,3.3,7.9,42.1,0.1,0.3,28.6,1.8,2.2,84.1,1.6,3.6,5.2,0.8,1.4,0.5,0.8,2.3,18.9,1,0,-3.5,2777760,0.000555552
169,Kelenna Azubuike,GSW,24,81,48,33,21.4,8.5,3.2,7.2,44.5,0.9,2.4,36.4,1.2,1.7,71.7,1.3,2.7,4,0.9,0.7,0.6,0.4,2,16.9,3,0,-0.1,687456,0.0001374912
169,Steve Blake,POR,28,81,41,40,29.9,8.5,3.2,7.9,40.8,1.5,3.7,40.6,0.6,0.8,76.6,0.4,2,2.4,5.1,1.4,0.7,0,1.6,19.9,3,0,0.9,4250000,0.00085
171,Mikki Moore,SAC,32,82,38,44,29.1,8.5,3.4,6,57.7,0,0,0,1.6,2.2,73.6,2,4.1,6,1,1.3,0.4,0.6,3.8,18.9,6,0,-1.3,5356000,0.0010712
172,Jamario Moon,TOR,28,78,39,39,27.8,8.5,3.6,7.4,48.5,0.5,1.6,32.8,0.8,1.1,74.1,1.2,5,6.2,1.2,0.7,1,1.4,1.9,24.2,3,0,3.5,427163,8.54E-05
173,Mark Blount,MIA,32,69,11,58,22.3,8.4,3.4,7.5,46.2,0.2,0.6,38.6,1.3,2,63.8,1,2.8,3.8,0.6,1,0.5,0.5,1.9,15.8,3,0,-4.7,7901040,0.001580208
174,Antonio Daniels,WAS,33,71,40,31,30.4,8.4,2.9,6.3,45.9,0.2,1,23,2.4,3.1,77.6,0.3,2.5,2.9,4.8,1.3,1,0,1.1,20.7,3,0,0.2,5800000,0.00116
175,Vladimir Radmanovic,LAL,27,65,45,20,22.8,8.4,3,6.7,45.3,1.5,3.6,40.6,0.8,1,80,0.9,2.4,3.3,1.9,1.1,0.7,0.2,2.3,16.7,2,0,5.5,5632200,0.00112644
176,Delonte West,CLE,24,61,23,38,25.1,8.3,3.2,7.8,41.3,0.8,2.2,35.6,1.1,1.5,73.6,0.5,2.7,3.2,3.8,1.9,1,0.5,1.7,20.1,1,0,-1.4,1889760,0.000377952
177,Kareem Rush,IND,27,71,30,41,21.2,8.3,3.2,8,40.1,1.4,3.7,38.9,0.4,0.6,71.4,0.3,2.1,2.4,1.3,0.9,0.6,0.3,1.5,14.7,1,0,-1.5,770610,0.000154122
178,Marko Jaric,MIN,29,75,20,55,29.2,8.3,3,7,43,0.6,1.7,36.2,1.6,2.2,74.2,0.5,2.5,3,4.1,1.7,1.3,0.4,2.4,21.5,3,0,-4.8,6050000,0.00121
179,Brandon Bass,DAL,23,79,48,31,19.7,8.3,3.1,6.2,49.9,0,0.1,0,2.1,2.5,82.2,1.5,2.9,4.4,0.7,1,0.3,0.6,1.9,16.3,3,0,-0.5,770610,0.000154122
180,Thaddeus Young,PHI,20,74,38,36,21,8.2,3.6,6.6,53.9,0.1,0.3,31.6,1,1.4,73.8,1.6,2.6,4.2,0.8,0.9,1,0.1,1.7,16.9,0,0,2.5,1830720,0.000366144
181,Josh Boone,NJN,23,70,29,41,25.3,8.2,3.4,6.2,54.8,0,0,0,1.4,3.1,45.6,2.7,4.5,7.3,0.8,1,0.5,0.9,2.2,21.3,13,0,-2.2,1133040,0.000226608
182,Marquis Daniels,IND,27,74,36,38,20.9,8.2,3.3,7.6,43,0.4,1.4,26.5,1.3,1.9,69.8,0.9,2,2.9,1.9,1.5,1.1,0.2,1.6,16.8,0,0,0.1,6373900,0.00127478
183,Matt Harpring,UTA,32,76,50,26,18.1,8.2,3.1,6.2,50,0,0.1,20,1.9,2.7,71.2,1.3,1.9,3.2,1.1,1.3,0.6,0.2,2.1,14.7,0,0,0.4,6000000,0.0012
184,Carl Landry,HOU,24,42,32,10,16.9,8.1,3.2,5.2,61.6,0,0,0,1.7,2.6,66.1,2.3,2.6,4.9,0.5,0.6,0.4,0.2,2.3,15.9,1,0,2.3,427163,8.54E-05
185,Quentin Richardson,NYK,28,65,20,45,28.3,8.1,3.1,8.5,35.9,1.1,3.3,32.2,0.9,1.4,68.2,0.9,4,4.8,1.8,1.1,0.7,0.2,2.4,18.3,1,0,-4.7,8105500,0.0016211
186,Keyon Dooling,ORL,28,72,45,27,18.5,8.1,2.8,5.9,46.8,0.3,0.9,33.8,2.3,2.7,84.5,0.1,1.3,1.4,1.8,0.8,0.5,0.1,1.8,13.4,0,0,1.6,3596000,0.0007192
187,Paul Millsap,UTA,23,82,54,28,20.8,8.1,3.1,6.1,50.4,0,0,0,1.9,2.8,67.7,2,3.6,5.6,1,1.1,0.9,0.9,3.3,20.5,4,0,2.7,687456,0.0001374912
188,Ramon Sessions,MIL,22,17,2,15,26.4,8.1,3,6.9,43.6,0.2,0.4,42.9,1.9,2.4,78,0.5,2.9,3.4,7.5,2.1,1,0.2,1.5,24.8,3,0,-2.6,427163,8.54E-05
