Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,#ERROR!,Salary,Player_Comp_Share
375,E'Twaun Moore,PHX,32,27,20,7,14.4,4.9,2,4.5,45.5,0.4,1.3,31.4,0.4,0.5,85.7,0.5,1.1,1.7,1.5,0.9,0.6,0.2,1.2,10.5,0,0,0.3,1620564,0.0005056361934
376,Jerome Robinson,WAS,24,17,5,12,17.9,4.9,1.6,5.6,29.5,0.6,2.5,26.2,0.9,1.2,80,0.2,2,2.2,1.5,1.1,0.7,0.4,1.8,11.8,0,0,-5.9,3737520,0.001166152886
377,Tyler Cook,DET,23,32,11,21,13.7,4.9,2.2,3.2,67,0,0.1,50,0.5,1.1,48.6,0.9,2.1,3,0.5,0.7,0.3,0.1,1.1,9.5,0,0,-1.1,396081,0.0001235822153
378,Brandon Goodwin,ATL,25,47,25,22,13.2,4.9,1.8,4.7,37.7,0.7,2.2,31.1,0.6,0.9,65.1,0.2,1.3,1.5,2,0.8,0.4,0,0.9,10,0,0,-1.3,1701593,0.0005309182527
379,Gabe Vincent,MIA,25,50,27,23,13.1,4.8,1.8,4.7,37.8,0.9,3,30.9,0.4,0.5,87,0.2,0.9,1.1,1.3,0.7,0.4,0,1.6,8.9,1,0,-1.5,,
380,Wesley Matthews,LAL,34,58,33,25,19.5,4.8,1.5,4.3,35.3,1.1,3.4,33.5,0.6,0.7,85.4,0.3,1.3,1.6,0.9,0.4,0.7,0.3,1.4,10.5,0,0,0.7,3623000,0.001130421217
381,Langston Galloway,PHX,29,40,29,11,10.9,4.8,1.7,3.7,44.9,0.9,2.1,42.4,0.6,0.6,95.7,0.2,0.9,1.1,0.7,0.3,0.2,0,0.6,7.3,0,0,0.9,1620564,0.0005056361934
382,Aaron Nesmith,BOS,21,46,22,24,14.5,4.7,1.7,3.9,43.8,0.9,2.3,37,0.5,0.6,78.6,0.6,2.2,2.8,0.5,0.5,0.3,0.2,1.9,9.9,0,0,-0.2,3458400,0.001079063963
383,Troy Brown Jr.,CHI,21,34,10,24,15.4,4.7,1.8,4.2,43.1,0.6,2.1,31.4,0.4,0.6,71.4,0.6,2.5,3.1,0.9,0.6,0.3,0.2,1.4,10.5,0,0,0.8,3219480,0.001004517941
384,Boban Marjanovic,DAL,32,33,14,19,8.2,4.7,1.9,3.7,50.8,0,0.2,12.5,0.9,1.2,81.6,1.4,2.5,3.9,0.3,0.4,0.1,0.2,0.9,10.2,3,0,0.7,3500000,0.001092043682
385,Damian Jones,SAC,26,39,24,15,14,4.7,1.8,2.6,68,0,0.1,20,1.1,1.5,72.4,0.9,2.2,3.1,0.7,0.7,0.3,0.7,2,11.9,1,0,-1.7,237965,7.42E-05
386,Grant Williams,BOS,22,63,30,33,18.1,4.7,1.7,3.9,43.7,0.8,2,37.2,0.5,0.8,58.8,0.8,2.1,2.8,1,0.9,0.5,0.4,2.6,11.4,0,0,-0.8,2498760,0.0007796443058
387,Semi Ojeleye,BOS,26,56,28,28,17,4.6,1.6,3.9,40.3,1,2.8,36.7,0.4,0.6,75,0.6,2.1,2.6,0.7,0.4,0.3,0,1,9.3,0,0,0.1,1752950,0.0005469422777
388,JaKarr Sampson,IND,28,29,14,15,10.9,4.6,1.9,3.9,49.6,0.1,0.5,20,0.7,1,65.5,0.9,1.7,2.7,0.1,0.5,0.1,0.5,1.8,9.2,0,0,0.1,1620564,0.0005056361934
389,Nassir Little,POR,21,48,27,21,13.3,4.6,1.6,3.5,46.7,0.6,1.7,35,0.8,0.9,80,0.7,2,2.7,0.5,0.4,0.1,0.3,1.1,9.3,0,0,-0.8,2210640,0.0006897472699
390,Onyeka Okongwu,ATL,20,50,31,19,12,4.6,1.9,3,64.4,0,0.1,0,0.7,1.1,63.2,1.2,2,3.3,0.4,0.6,0.5,0.7,2,11.8,2,0,-1.8,5813640,0.001813928237
391,Kelan Martin,IND,25,35,16,19,9.2,4.5,1.8,3.9,44.9,0.7,1.7,40,0.3,0.3,90,0.5,1.7,2.2,0.5,0.5,0.3,0.3,1,9.1,0,0,2.7,1445697,0.000451075507
392,Rodney Hood,TOR,28,55,29,26,17.1,4.5,1.7,4.7,36.2,0.6,2.1,30.1,0.4,0.5,85.7,0.4,1.5,1.9,1,0.7,0.4,0.1,1.3,9.2,0,0,-2.4,10047450,0.003134929797
393,Solomon Hill,ATL,30,71,41,30,21.3,4.5,1.5,4.2,35.9,1,3,32.1,0.5,0.6,76.1,0.6,2.4,3,1.1,0.6,0.7,0.2,1.6,11.7,0,0,0.4,1620564,0.0005056361934
394,Charlie Brown Jr.,OKC,24,9,1,8,16.9,4.4,1.4,4.8,30.2,0.6,2.3,23.8,1,1.1,90,0.3,1.6,1.9,1,0.7,0.4,0.2,2.1,9.5,0,0,-4.8,19804,6.18E-06
395,Al-Farouq Aminu,CHI,30,23,5,18,18.9,4.4,1.7,4.3,38.4,0.3,1.6,21.6,0.8,1,81.8,1,3.8,4.8,1.3,1.2,0.8,0.4,1.3,14.6,1,0,-2.3,9720900,0.003033042122
396,Stanley Johnson,TOR,25,61,25,36,16.5,4.4,1.5,3.8,38.2,0.7,2.2,32.8,0.7,0.9,80,0.5,2,2.5,1.5,0.9,0.9,0.3,1.9,12.1,2,0,-2.6,3804150,0.001186942278
397,Andre Iguodala,MIA,37,63,37,26,21.3,4.4,1.5,3.9,38.3,1,2.9,33,0.4,0.6,65.8,0.6,2.9,3.5,2.3,1.1,0.9,0.6,1.4,15.3,0,0,-1.3,15000000,0.004680187207
398,Yuta Watanabe,TOR,26,50,24,26,14.5,4.4,1.6,3.6,43.9,0.7,1.8,40,0.5,0.6,82.8,0.7,2.5,3.2,0.8,0.4,0.5,0.4,1.1,11.7,0,0,-0.8,321893,0.0001004346334
399,Chandler Hutchison,WAS,25,25,11,14,13.8,4.3,1.6,4.1,37.9,0.3,0.9,36.4,0.8,1,84,0.2,2.9,3.1,0.7,0.8,0.5,0.2,1.3,10.3,0,0,-2.3,2443440,0.0007623837754
400,John Konchar,MEM,25,43,23,20,13.4,4.3,1.6,3.2,50,0.5,1.3,37.5,0.6,0.7,83.3,0.8,2.2,3,1.1,0.4,0.7,0.2,0.9,11.8,0,0,0.4,2100000,0.000655226209
401,Devin Cannady,ORL,25,8,0,8,9.3,4.3,1.4,3.5,39.3,0.8,2,37.5,0.8,0.9,85.7,0,0.6,0.6,0.1,0.3,0.6,0.1,1.1,7.2,0,0,-2.9,,
402,Mike Scott,PHI,32,51,35,16,16.7,4.2,1.5,4.1,36,1,3,34.2,0.2,0.2,66.7,0.2,2.1,2.4,0.8,0.4,0.5,0.3,1.4,10,0,0,-0.2,5005350,0.001561731669
403,Jevon Carter,PHX,25,60,42,18,11.9,4.1,1.6,3.7,42.2,0.9,2.5,37.1,0.1,0.1,57.1,0.3,1.3,1.5,1.2,0.3,0.5,0.2,0.9,9.4,1,0,0.5,3925000,0.001224648986
404,Lamar Stevens,CLE,23,40,13,27,12.5,4.1,1.6,3.4,45.6,0.1,0.6,16,0.9,1.3,72.5,0.6,1.8,2.4,0.6,0.6,0.4,0.3,1.3,9.6,1,0,-2.9,652366,0.0002035463339
405,Kevon Looney,GSW,25,61,34,27,19,4.1,1.8,3.2,54.8,0.1,0.3,23.5,0.5,0.8,64.6,1.9,3.4,5.3,2,0.6,0.3,0.4,2.2,14.9,0,0,2.1,4464226,0.001392894228
406,Paul Watson,TOR,26,27,13,14,11,4.1,1.4,3,46.3,1.1,2.4,46.9,0.2,0.3,62.5,0.1,1.5,1.7,0.6,0.3,0.2,0.1,1.3,7.7,0,0,-0.1,1445697,0.000451075507
407,Nico Mannion,GSW,20,30,17,13,12.1,4.1,1.3,3.8,34.2,0.7,2,36.7,0.8,0.9,82.1,0.2,1.3,1.5,2.3,1,0.5,0,1,10.1,0,0,-2.5,,
408,DaQuan Jeffries,SAS,23,31,6,25,15.9,4.1,1.6,3.9,41.7,0.6,2.2,29.9,0.2,0.3,87.5,0.6,1.7,2.3,0.7,0.5,0.5,0.3,1.5,9.9,0,0,-1.8,1445697,0.000451075507
