,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,#ERROR!,SALARY,Player_Comp_Share
117,Pat Garrity,ORL,25,80,44,36,30,11.1,4.1,9.6,42.6,2.1,5,42.7,0.8,0.9,83.6,1,3.3,4.2,1.2,0.9,0.8,0.4,2.9,20.4,1,0,2.9,1569000,0.001072453862
118,Gilbert Arenas,GSW,20,47,10,37,24.5,10.9,3.7,8.2,45.3,0.8,2.4,34.5,2.6,3.4,77.5,0.9,1.9,2.8,3.7,2.1,1.5,0.2,2.4,22.8,1,0,-2.8,333000,0.0002276144908
119,Derek Anderson,POR,27,70,45,25,26.5,10.8,3.5,8.8,40.3,1.2,3.3,37.3,2.5,3,85.6,0.7,2,2.7,3.1,1.2,1,0.1,1.6,20.7,1,0,2.5,6495000,0.004439507861
120,Lee Nailon,CHH,27,79,43,36,24.2,10.8,4.7,9.7,48.3,0,0,50,1.4,1.9,74.7,1.3,2.4,3.7,1.2,1.2,0.7,0.2,2.2,18.6,1,0,-0.1,466000,0.0003185235817
121,Michael Dickerson,MEM,27,4,0,4,31.4,10.8,3.8,12,31.3,2,5.3,38.1,1.3,1.5,83.3,0.8,2.3,3,2.3,2,0.8,0.3,3,18.7,0,0,-2,1940000,0.001326042379
122,Andrei Kirilenko,UTA,21,82,44,38,26.3,10.7,3.5,7.7,45,0.3,1.2,25,3.5,4.5,76.8,1.8,3.1,4.9,1.1,1.3,1.4,1.9,1.9,27.1,3,0,4.2,831000,0.0005680109364
123,James Posey,DEN,25,73,24,49,30.7,10.7,3.8,10.1,37.6,0.9,3.2,28.3,2.2,2.8,79.3,1.5,4.4,5.9,2.5,1.7,1.6,0.5,3.1,26,7,0,-3.2,1120000,0.0007655502392
124,Jim Jackson,MIA,31,55,29,26,33.2,10.7,4.3,9.8,44.2,0.7,1.5,46.9,1.4,1.6,86.2,1,4.3,5.3,2.5,1.9,0.8,0.3,2.6,22,4,0,-0.2,480000,0.0003280929597
125,Joe Smith,MIN,26,72,42,30,26.7,10.7,4.1,8.1,51.1,0,0,66.7,2.4,2.9,83,2.1,4.2,6.3,1.1,1.2,0.5,0.8,3.5,22.8,7,0,4.7,4538000,0.003101845523
126,Scottie Pippen,POR,36,62,39,23,32.2,10.6,4,9.7,41.1,0.9,2.9,30.5,1.8,2.4,77.4,1.2,3.9,5.2,5.9,2.8,1.6,0.6,2.6,29.4,11,0,1.5,18083000,0.01236021873
