Unnamed: 0,PLAYER,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,Salary,Player_Comp_Share
24,Karl-Anthony Towns,MIN,28,16,9,7,32.6,19.1,6.8,14.5,46.6,1.9,5.2,36.1,3.7,4.3,85.5,2.2,6.8,9,2.6,1.7,0.8,0.2,3.4,34.9,8,0,1.1,36016200,0.006374548673
25,Franz Wagner,ORL,22,7,3,4,37.1,18.9,6,14.7,40.8,1.3,4.9,26.5,5.6,6.3,88.6,1.4,5.4,6.9,4.4,1.3,0.7,1.3,2.9,38.4,1,0,4.3,5508720,0.0009749946903
26,Jalen Williams,OKC,23,10,6,4,37.7,18.7,7.5,16,46.9,1.5,3.9,38.5,2.2,2.7,81.5,1.3,5.5,6.8,5.4,1.9,1.7,0.5,2.1,39.7,0,0,6.6,4558680,0.0008068460177
27,Tyrese Haliburton,IND,24,15,8,7,34.8,18.7,7,14.3,48.8,3.5,9.3,37.9,1.1,1.3,85,0.8,4,4.8,8.2,2.1,1.3,0.7,0.9,40.5,4,1,3.9,5808435,0.001028041593
28,Donte DiVincenzo,NYK,27,13,7,6,35.8,17.8,6.2,14.7,41.9,3.5,8.2,42.5,2,2.3,86.7,1,3,4,2.6,1.2,1.2,0.9,2.2,31.7,0,0,-4.5,10960000,0.001939823009
29,CJ McCollum,NOP,32,4,0,4,36.9,17.8,7.8,18.5,41.9,1.8,7.3,24.1,0.5,0.5,100,0.5,4.3,4.8,4.8,4,1.8,0.8,3.5,34.1,0,0,-13.3,35802469,0.006336720177
30,Brook Lopez,MIL,36,6,2,4,33.4,17.7,7.3,12.5,58.7,1.7,3.8,43.5,1.3,2.5,53.3,1.8,2.5,4.3,1.8,1.5,0,1.3,1.7,28.1,0,0,-5.8,25000000,0.004424778761
31,Jarrett Allen,CLE,26,4,2,2,31.7,17,6.3,9.3,67.6,0,0,0,4.5,6.5,69.2,3.8,10,13.8,1.3,1.3,1.3,1,2,40.9,2,0,-2,20000000,0.003539823009
31,Myles Turner,IND,28,17,8,9,32.4,17,6.2,12.1,51.7,2.3,5.1,45.3,2.2,2.9,76,1.5,5.1,6.6,2.1,1.9,0.5,1.5,2.6,32,3,0,3.2,20975000,0.003712389381
33,Austin Reaves,LAL,26,5,1,4,34.8,16.8,6,12.6,47.6,1.4,5.2,26.9,3.4,3.8,89.5,1,2.8,3.8,3.6,0.8,1.4,0.6,1.6,32,0,0,-1.8,12015150,0.002126575221
33,Tyler Herro,MIA,24,5,1,4,37,16.8,6,15.6,38.5,3,8.6,34.9,1.8,2,90,0,3.6,3.6,5.4,2.8,0.4,0,2,27.6,1,0,-8.6,27000000,0.004778761062
35,Derrick White,BOS,29,19,16,3,35.6,16.7,5.7,12.7,45.2,3.4,8.5,40.4,1.8,2,92.1,1,3.3,4.3,4.1,0.8,0.9,1.2,2.3,33.6,0,0,3.5,18357143,0.003249051858
36,Bobby Portis,MIL,29,6,2,4,31.1,16.5,7.3,15.2,48.4,0.5,2,25,1.3,2.2,61.5,2.7,8.7,11.3,1,1.5,0.5,0.2,2.2,32.1,5,0,6,11710818,0.00207271115
36,Bradley Beal,PHX,31,4,0,4,38.5,16.5,6.5,14.8,44.1,2.5,5.8,43.5,1,1.3,80,1.5,1.3,2.8,4.5,3.3,0.8,0.3,3.8,26.3,0,0,-12.8,46741590,0.008272847788
38,Ivica Zubac,LAC,27,6,2,4,32,16.2,7,11.7,60,0,0,0,2.2,3.3,65,3,6.3,9.3,1,1.3,0.8,0.5,3.5,31.5,3,0,-1.3,10933333,0.001935103186
39,Evan Mobley,CLE,23,12,5,7,35.2,16,6.8,12.2,55.5,0.4,1.5,27.8,2.1,3,69.4,2.5,6.8,9.3,2.3,1.8,0.8,2.2,2.8,37.8,5,0,-2.7,8882760,0.001572169912
40,Michael Porter Jr.,DEN,26,12,7,5,36.9,15.8,5.7,12.2,46.6,2.8,6.8,40.7,1.7,2.2,76.9,0.7,6.2,6.8,1.1,1.5,0.9,0.8,2.3,29.3,2,0,-0.8,33386850,0.005909176991
41,Darius Garland,CLE,24,12,5,7,36,15.7,6.1,14.3,42.7,2.1,5.9,35.2,1.4,1.8,81,0.1,3.5,3.6,5.8,2.3,1.1,0.2,2.8,30.1,0,0,-6.2,34005250,0.006018628319
42,Chet Holmgren,OKC,22,10,6,4,34.5,15.6,5.9,11.9,49.6,1.3,5,26,2.5,3.3,75.8,1.4,5.8,7.2,2.1,1.9,0.7,2.5,2.6,35.1,1,0,7.5,10386000,0.001838230088
43,OG Anunoby,NYK,26,9,6,3,36,15.1,6.2,12.3,50.5,1.8,4.3,41,0.9,1.4,61.5,0.8,5.2,6,1.1,1.1,0.9,1,1.7,28.5,1,0,0.3,18642857,0.003299620708
44,Andrew Nembhard,IND,24,17,8,9,32.6,14.9,6,10.7,56,1.7,3.5,48.3,1.2,1.5,76.9,0.8,2.5,3.3,5.5,1.4,0.4,0.2,3.3,27.5,1,0,1.1,2131905,0.0003773283186
45,Alec Burks,NYK,32,6,2,4,20.1,14.8,4.2,8.3,50,2,4.7,42.9,4.5,5.3,84.4,0.7,2.7,3.3,1,0,0.2,0.2,1,21.3,0,0,-3.5,10489600,0.001856566372
46,Jalen Suggs,ORL,23,7,3,4,33.2,14.7,4.7,11.7,40.2,2,6.9,29.2,3.3,4.3,76.7,1.6,3.6,5.1,3.3,2.9,1.3,0.4,2.6,28.1,0,0,3.7,7252080,0.001283553982
47,Josh Hart,NYK,29,13,7,6,42.1,14.5,5.1,11.5,44,1.7,4.5,37.3,2.7,3.7,72.9,2.8,8.7,11.5,4.5,2.6,1,0.8,3.2,37.9,7,0,-3.5,12960000,0.00229380531
48,Jonas Valančiūnas,NOP,32,4,0,4,22.4,14.5,5.5,10.5,52.4,0,0.3,0,3.5,4.3,82.4,4.5,6.5,11,1.3,2.5,0.5,0,2.3,28.6,2,0,-8,,
49,Aaron Gordon,DEN,28,12,7,5,37.1,14.3,5.8,9.8,58.5,0.9,2.3,40.7,1.9,2.3,82.1,3,4.3,7.3,4.4,1.5,0.8,0.6,2.3,32.4,3,0,-3.8,22266182,0.003940917168
50,Brandon Ingram,NOP,26,4,0,4,36.4,14.3,4.8,13.8,34.5,0.5,2,25,4.3,4.8,89.5,0.3,4.3,4.5,3.3,2.3,1,1.3,2,29,0,0,-11,33833400,0.005988212389
51,D'Angelo Russell,LAL,28,5,1,4,36.9,14.2,5.6,14.6,38.4,2.8,8.8,31.8,0.2,0.4,50,0.2,2.6,2.8,4.2,1.8,0.8,0.2,1.2,25.1,0,0,4.4,17307693,0.003063308496
52,Kelly Oubre Jr.,PHI,28,6,2,4,37.3,13.2,5.2,10.7,48.4,1.5,3.8,39.1,1.3,1.8,72.7,1.5,2.5,4,1.7,1.3,1.8,1.2,4,28.1,0,0,3.8,2019706,0.0003574700885
53,Jrue Holiday,BOS,34,19,16,3,37.9,13.2,5.1,10.2,50.3,1.8,4.6,40.2,1.1,1.2,95.5,1.9,4.2,6.1,4.4,1.5,1.1,0.6,2.1,30.7,3,0,7.5,36861707,0.006524195929
54,Herbert Jones,NOP,25,4,0,4,35.2,13,4,10.3,39,2,6,33.3,3,3,100,1.5,3.5,5,2.5,2.8,1.3,0.3,3.8,24.5,0,0,-11.8,12015150,0.002126575221
54,P.J. Washington,DAL,25,22,13,9,35.7,13,4.5,10.6,42.7,2.1,6.1,34.8,1.8,2.5,70.9,1.5,5.1,6.6,1.4,1.5,0.7,0.8,3,26.1,3,0,2.2,16847826,0.002981916106
56,Norman Powell,LAC,31,6,2,4,29.8,12.8,4.3,10.2,42.6,2.2,4.8,44.8,2,2.5,80,0.5,2.3,2.8,0.3,1.2,0.5,0,3.3,17.1,0,0,-3.7,18000000,0.003185840708
57,Jaime Jaquez Jr.,MIA,23,4,1,3,30.6,12.8,5.3,13,40.4,0.8,3.3,23.1,1.5,1.8,85.7,0.5,2.8,3.3,3,1.8,0.8,0.5,1.5,23.2,0,0,-5.8,3510600,0.0006213451327
58,Kristaps Porziņģis,BOS,28,7,6,1,23.5,12.3,4,8.6,46.7,1.4,4.1,34.5,2.9,3.1,90.9,0.6,3.9,4.4,1.1,0.7,0.7,1.6,2.1,25.5,0,0,5.6,,
59,Jaden McDaniels,MIN,23,16,9,7,33.6,12.2,4.5,8.8,51.4,1.5,3.5,42.9,1.7,2.2,77.1,1.8,2.1,3.8,1.1,1.1,0.9,1.1,3.4,23.4,0,0,4.2,3901399,0.0006905130973
60,Rudy Gobert,MIN,32,15,8,7,34.2,12.1,4.3,6.9,61.5,0,0,0,3.5,5.3,67.1,2.7,7.1,9.8,1.6,1.5,0.9,1,3.7,30.5,6,0,6.3,41000000,0.007256637168
61,Kawhi Leonard,LAC,33,2,0,2,29.7,12,5.5,12,45.8,0,2.5,0,1,1.5,66.7,1.5,6.5,8,2,2,2,0.5,1.5,30.1,0,0,-6,45640084,0.008077890973
62,T.J. McConnell,IND,32,17,8,9,20.5,11.8,5.3,10.9,48.6,0.4,1.5,26.9,0.8,0.9,86.7,0.6,2.4,3.1,5.1,1.2,0.9,0.1,1.5,24.8,2,0,-0.3,8700000,0.001539823009
63,Caleb Martin,MIA,28,5,1,4,35.1,11.6,4.2,9,46.7,2.2,5,44,1,1,100,1,2.6,3.6,1.4,0.6,0.6,0,2.8,19.2,0,0,-11.8,6802950,0.001204061947
63,Mike Conley,MIN,36,15,9,6,31.6,11.6,4.1,9.7,42.8,2,5.1,39.5,1.3,1.9,71.4,0.7,3.2,3.9,5.7,1.3,1.4,0.2,2.5,28.3,1,0,3.9,24360000,0.004311504425
65,Trey Murphy III,NOP,24,4,0,4,42,11.5,4.5,12,37.5,2.5,7.5,33.3,0,0,0,0.8,5.8,6.5,2.3,2,1.3,1.5,3,28.9,0,0,-15,3359280,0.0005945628319
66,Naz Reid,MIN,24,16,9,7,22.5,11.1,4.1,8.9,45.8,1.6,4.3,36.2,1.4,1.9,71,0.6,3.1,3.7,1,0.9,0.5,0.8,2,19.9,1,0,-1.4,12950400,0.002292106195
67,Miles McBride,NYK,23,13,7,6,26.7,11,4.2,9.5,43.5,1.9,5.2,36.8,0.8,0.9,83.3,0.5,1.7,2.2,1.9,0.8,0.5,0.2,2.3,17.8,0,0,-2.8,1836096,0.0003249727434
68,Obi Toppin,IND,26,17,8,9,20.2,10.9,4.3,7.9,54.1,1.2,3.3,35.7,1.1,1.5,76,0.6,3.8,4.4,1.7,0.8,0.4,0.4,1.2,20,0,0,-0.6,6803012,0.00120407292
69,Luguentz Dort,OKC,25,10,6,4,35,10.7,3.3,9.1,36.3,2.5,6.4,39.1,1.6,1.9,84.2,1.9,2.7,4.6,2,1.1,1.3,0.2,4.2,22.6,0,0,3.5,15277778,0.002704031504
70,Aaron Nesmith,IND,24,17,8,9,32.9,10.5,3.6,8.3,43.3,1.3,4.6,27.8,2,2.2,91.9,1.1,3.8,4.9,2.2,1.4,0.6,0.5,3.9,21.8,0,0,0.8,5634257,0.0009972136283
71,Caris LeVert,CLE,29,11,5,6,25.3,10.1,4,9.3,43.1,0.5,3,18.2,1.5,2.4,65.4,0.7,2.9,3.6,2.3,1.3,0.8,0.5,1.3,20.7,0,0,-3.3,15384616,0.002722940885
72,Max Strus,CLE,28,12,5,7,36.1,9.5,3.5,8.6,40.8,2.1,6,34.7,0.4,0.4,100,0.7,4.7,5.3,2.9,1.3,0.8,0,3.4,21.3,0,0,-2.7,14487684,0.002564191858
73,Nikola Jović,MIA,21,5,1,4,25.7,9.4,3.2,7.2,44.4,1.8,4.4,40.9,1.2,1.4,85.7,0.4,6.2,6.6,2.2,1.2,1,0.6,1.8,24.2,0,0,-11.4,,
74,Terance Mann,LAC,27,6,2,4,31.2,9.3,3.2,7.7,41.3,1.7,3.7,45.5,1.3,1.3,100,2.8,2.2,5,1.8,0.8,0,0,3.2,17.3,0,0,-4.2,10576923,0.00187202177
75,Al Horford,BOS,38,19,16,3,30.3,9.2,3.5,7.3,47.8,1.8,5,36.8,0.4,0.6,63.6,1.8,5.2,7,2.1,0.6,0.8,0.8,1.5,25,1,0,7.4,10000000,0.001769911504
76,Derrick Jones Jr.,DAL,27,22,13,9,29.4,9.1,3.5,7.3,48.1,1.1,3,36.9,1,1.4,73.3,1.5,2,3.5,1.2,0.8,0.5,1,2.5,18.6,0,0,2,2019706,0.0003574700885
77,Naji Marshall,NOP,26,4,0,4,21,9,3,7,42.9,1.5,3.8,40,1.5,1.5,100,0.8,2,2.8,1.3,0.5,0.5,0.5,2.3,16.7,0,0,-7.8,1930681,0.0003417134513
77,Tobias Harris,PHI,31,6,2,4,36.4,9,3.7,8.5,43.1,1,3,33.3,0.7,0.7,100,1.5,5.7,7.2,1.5,0.5,0.2,0.5,1.8,21.4,0,0,-1.5,39270150,0.006950469027
79,Daniel Gafford,DAL,25,22,13,9,20.2,9,3.5,5.6,63.4,0,0,0,1.9,3,63.1,1.9,3.6,5.5,0.7,0.9,0.3,1.5,1.7,21.1,1,0,-2.1,12402000,0.002195044248
80,Malik Beasley,MIL,27,6,2,4,21.8,8.8,3.5,6.8,51.2,1.8,4.2,44,0,0,0,0.2,2.3,2.5,0.7,0.5,0.7,0,1.5,14.3,0,0,-6.3,2019760,0.000357479646
81,Josh Giddey,OKC,21,10,6,4,18.1,8.7,3.4,7.5,45.3,1.2,3.4,35.3,0.7,0.8,87.5,0.7,2.9,3.6,2.1,1.2,0.2,0.4,0.9,16.8,0,0,3.9,6587040,0.001165847788
82,Isaiah Hartenstein,NYK,26,13,7,6,29.8,8.5,3.5,5.8,59.2,0.1,0.2,50,1.5,1.7,86.4,3.8,4.1,7.8,3.5,1.5,0.3,0.9,3.2,25.4,1,0,-5.5,9245121,0.001636304602
83,Patrick Beverley,MIL,35,6,2,4,34.9,8.2,2.7,6.5,41,0.7,1.8,36.4,2.2,2.5,86.7,0.7,2.7,3.3,5.5,1,1,0.7,2.7,24.4,1,0,-0.2,2019706,0.0003574700885
84,Kentavious Caldwell-Pope,DEN,31,12,7,5,35,8.1,2.8,7.2,39.5,1.5,4.6,32.7,0.9,0.9,100,0.4,2.5,2.9,2.6,0.8,1.4,0.4,3.1,20.1,0,0,-0.3,14704938,0.002602643894
85,Delon Wright,MIA,32,4,1,3,26.8,8,3,5,60,1.5,2.5,60,0.5,0.5,100,0.5,2.5,3,1.8,0,1,0.3,1.3,18,0,0,-5.3,661628,0.0001171023009
85,Eric Gordon,PHX,35,4,0,4,29.4,8,2.3,7,32.1,1.8,4.3,41.2,1.8,2,87.5,0.3,1.5,1.8,1.3,1,1.3,0.5,1.3,16.2,0,0,-6.5,3196448,0.0005657430088
87,Dereck Lively II,DAL,20,21,13,8,22,7.9,3,4.5,67.4,0,0,100,1.7,2.9,59,2.7,4.7,7.4,1.3,1,0.4,1,2.3,21.8,4,0,4.7,4775640,0.0008452460177
88,Rui Hachimura,LAL,26,5,1,4,30.5,7.8,3,7.6,39.5,1,2.8,35.7,0.8,1.6,50,1.2,2.6,3.8,0.8,0.4,0,0,1.6,13.2,0,0,-4.8,15740741,0.002785971858
89,Jusuf Nurkić,PHX,29,4,0,4,25.9,7.8,3.3,6.5,50,0,0.5,0,1.3,2.8,45.5,3.3,5,8.3,2.8,1.5,1.5,1.5,3.8,29.3,1,0,-10,,
90,Wendell Carter Jr.,ORL,25,7,3,4,26.4,7.6,2.7,6.7,40.4,1,3.6,28,1.1,1.6,72.7,1.3,5,6.3,1.3,0.7,0.7,0.6,2.9,20.2,0,0,3.1,13050000,0.002309734513
91,Taurean Prince,LAL,30,5,1,4,22.2,7.4,2.4,5.8,41.4,1,3.4,29.4,1.6,1.6,100,0.2,2.2,2.4,0.6,0.2,0.2,0.4,1.8,12.8,0,0,-0.6,7455000,0.001319469027
92,Nickeil Alexander-Walker,MIN,25,16,9,7,23.6,7.3,2.6,7,36.6,1.5,5.1,29.6,0.6,0.6,100,0.3,1.4,1.8,2.3,0.9,0.6,0.4,1.5,15.1,0,0,0.5,4687500,0.0008296460177
93,Kyle Lowry,PHI,38,6,2,4,29.2,7,1.8,5.3,34.4,1.3,4,33.3,2,2.5,80,1,2.5,3.5,4,0.7,1,0.7,3.8,21.5,0,0,2.8,2795839,0.0004948387611
94,Markelle Fultz,ORL,26,7,3,4,15.1,6.4,2.9,4.9,58.8,0,0.1,0,0.7,1.3,55.6,1,1,2,1.1,1.1,0.4,0,1.7,10.7,0,0,4.6,17000000,0.003008849558
95,Payton Pritchard,BOS,26,19,16,3,18.7,6.4,2.3,5.5,41.9,1.2,3.2,38.3,0.6,0.6,91.7,0.7,1.2,1.9,2.1,0.7,0.2,0,1.2,11.8,0,0,1.5,4037278,0.0007145624779
96,Isaiah Joe,OKC,24,10,6,4,17.3,6.4,2.4,5.4,44.4,1.6,3.9,41,0,0,0,0.4,1.8,2.2,1,0.5,0.5,0,1,11.5,0,0,1.3,1997238,0.0003534934513
97,Nicolas Batum,PHI,35,6,2,4,28.3,6.3,2,4.8,41.4,1.5,3.7,40.9,0.8,1.3,62.5,1.5,4.3,5.8,1.3,0.8,0.2,0.8,2.2,17.5,0,0,-3,11710818,0.00207271115
97,Russell Westbrook,LAC,35,6,2,4,19,6.3,2.2,8.3,26,0.7,2.8,23.5,1.3,2.2,61.5,1,3.2,4.2,1.7,1.7,1.2,0.5,1.8,17.2,0,0,0.2,3835738,0.0006788916814
99,Jonathan Isaac,ORL,26,7,3,4,21,6.3,2.3,5.6,41,1.4,3.9,37,0.3,0.3,100,1.4,3.4,4.9,0.4,0.6,0.7,1.3,1,18.2,0,0,0.9,17400000,0.003079646018
99,Moritz Wagner,ORL,27,7,3,4,15,6.3,2.3,5.1,44.4,0.3,1.3,22.2,1.4,2.4,58.8,1.6,2.9,4.4,0.3,1.1,0.9,0.4,3,14.7,0,0,4.9,8000000,0.001415929204
101,Larry Nance Jr.,NOP,31,4,0,4,21.1,6.3,2.5,4.3,58.8,0.3,1,25,1,1.5,66.7,3.8,4.5,8.3,1.8,1.8,0.5,0,2.3,18.5,0,0,-4.5,10375000,0.001836283186
102,Aaron Wiggins,OKC,25,10,6,4,15.7,6.2,2.3,4.7,48.9,0.6,2,30,1,1.1,90.9,0.9,2.3,3.2,1,0.9,0.6,0.3,0.8,13.3,0,0,2.2,1836096,0.0003249727434
103,Marcus Morris Sr.,CLE,34,9,3,6,15.3,6.1,2.4,5.3,45.8,1,2.6,39.1,0.2,0.3,66.7,0.2,2.6,2.8,0.3,0.3,0.4,0,0.9,10.9,0,0,-4.3,17116279,0.003029429912
104,Bojan Bogdanovic,NYK,35,4,3,1,12.7,6,1.8,6,29.2,1.5,3.8,40,1,1.8,57.1,0.3,2.8,3,1,0.3,0,0.3,0.8,11.6,0,0,8,20000000,0.003539823009
104,Patty Mills,MIA,35,3,0,3,17.2,6,2,5.7,35.3,1,3.7,27.3,1,1.3,75,0.3,0,0.3,1,0.3,0.3,0,0.7,8.6,0,0,-3,475908,8.42E-05
104,Thomas Bryant,MIA,26,2,0,2,8.9,6,2.5,3.5,71.4,0,1,0,1,1.5,66.7,1,1.5,2.5,0.5,1,0,0,0.5,8.8,0,0,-2,2528233,0.0004474748673
107,Drew Eubanks,PHX,27,3,0,3,12.5,5.7,2.3,4,58.3,0,0,0,1,1,100,0,1.3,1.3,0,0.7,0.7,0.3,2,9.6,0,0,-4,2346614,0.0004153299115
108,Cameron Payne,PHI,29,5,2,3,12.2,5.6,2,5,40,1.6,3.6,44.4,0,0,0,0,1.2,1.2,1.4,0.6,0.2,0.8,2,11.5,0,0,-1.2,6500000,0.001150442478
109,Buddy Hield,PHI,31,4,1,3,12.7,5.5,1.8,4.3,41.2,1.5,3.3,46.2,0.5,0.5,100,0.5,0.8,1.3,0.5,0.5,0,0.3,1,8,0,0,-1.3,19279841,0.003412361239
109,Isaac Okoro,CLE,23,12,5,7,21.9,5.5,2.1,5.8,35.7,0.8,2.9,25.7,0.6,0.8,77.8,0.4,1.3,1.8,1.1,0.9,0.9,0.3,2.5,12.1,0,0,-2.6,8920795,0.00157890177
109,P.J. Tucker,LAC,39,2,0,2,15.3,5.5,2,3,66.7,1.5,2,75,0,0,0,1.5,0,1.5,0,1.5,0,0,3,5.8,0,0,-12,11014500,0.001949469027
112,Sam Hauser,BOS,26,19,16,3,14.9,5.4,1.9,4.4,42.9,1.4,3.7,38,0.2,0.2,100,0.4,1.7,2.2,0.6,0.2,0.3,0.2,1.1,10,0,0,4.5,1927896,0.000341220531
113,Precious Achiuwa,NYK,24,9,4,5,20.5,5.2,2.3,4.8,48.8,0,0.3,0,0.6,1.4,38.5,2.4,1.8,4.2,0.6,0.4,0.4,1.3,2.2,16,0,0,-2.7,4379527,0.0007751375221
114,Ben Sheppard,IND,22,17,8,9,19.7,5.2,1.8,4.2,43.7,1.1,2.9,38,0.4,0.5,77.8,0.6,2.4,3,1,0.6,0.5,0.1,1.9,11.2,0,0,1.7,2537160,0.0004490548673
115,Cole Anthony,ORL,24,7,3,4,14.7,5.1,1.9,5.9,31.7,0.3,1.9,15.4,1.1,1.3,88.9,0.3,1.9,2.1,1.3,0.7,0.6,0.1,2.3,11.1,0,0,1.9,5539771,0.0009804904425
116,Christian Braun,DEN,23,12,7,5,17,5.1,1.9,4.5,42.6,0.3,1.5,22.2,0.9,1.3,68.8,0.8,1.9,2.7,0.8,0.1,0.2,0.4,1.5,11.1,0,0,0.7,2949120,0.0005219681416
117,Royce O'Neale,PHX,31,4,0,4,26.1,5,1.8,5.5,31.8,1.5,4.5,33.3,0,0,0,1.3,3.5,4.8,1,0.5,0.3,0,2.8,12.5,0,0,-11.5,9500000,0.001681415929
118,Josh Green,DAL,23,22,13,9,18.1,5,1.6,3.9,42.4,1,2.7,39,0.6,0.9,73.7,1,1.6,2.5,1,0.3,0.8,0.1,1.3,12,0,0,0.1,4765339,0.0008434228319
119,Haywood Highsmith,MIA,27,5,1,4,25.1,4.8,2,5.6,35.7,0.6,3.2,18.8,0.2,0.2,100,0.4,2.4,2.8,1.6,0.8,0.2,0.2,2.8,11,0,0,-12.2,1902137,0.0003366614159
