Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,#ERROR!,Salary,Player_Comp_Share
1,Stephen Curry,GSW,28,79,71,8,34.2,30.1,10.2,20.2,50.4,5.1,11.2,45.4,4.6,5.1,90.8,0.9,4.6,5.4,6.7,3.3,2.1,0.2,2,50.3,15,2,12.9,11370786,0.0037982383
2,James Harden,HOU,26,82,41,41,38.1,29,8.7,19.7,43.9,2.9,8,35.9,8.8,10.2,86,0.8,5.3,6.1,7.5,4.6,1.7,0.6,2.8,49.9,23,3,1.5,15756438,0.005263198717
3,Kevin Durant,OKC,27,72,52,20,35.8,28.2,9.7,19.2,50.5,2.6,6.7,38.7,6.2,6.9,89.8,0.6,7.6,8.2,5,3.5,1,1.2,1.9,48.5,27,1,9,20158622,0.006733681398
4,DeMarcus Cousins,SAC,25,65,29,36,34.6,26.9,9.2,20.5,45.1,1.1,3.2,33.3,7.3,10.2,71.8,2.4,9.1,11.5,3.3,3.8,1.6,1.4,3.6,50.7,47,1,0.6,15851950,0.00529510305
5,LeBron James,CLE,31,76,56,20,35.6,25.3,9.7,18.6,52,1.1,3.7,30.9,4.7,6.5,73.1,1.5,6,7.4,6.8,3.3,1.4,0.6,1.9,47.1,28,3,8.1,22970500,0.007672946521
6,Damian Lillard,POR,25,75,40,35,35.7,25.1,8.2,19.7,41.9,3.1,8.1,37.5,5.5,6.2,89.2,0.6,3.4,4,6.8,3.2,0.9,0.4,2.2,40.6,15,0,1.3,4236287,0.001415067308
7,Anthony Davis,NOP,23,61,24,37,35.5,24.3,9.2,18.6,49.3,0.6,1.8,32.4,5.3,7,75.8,2.1,8.1,10.3,1.9,2,1.3,2,2.4,47.5,36,0,-3.3,7070730,0.002361869927
8,Russell Westbrook,OKC,27,80,55,25,34.4,23.5,8.2,18.1,45.4,1.3,4.3,29.6,5.8,7.2,81.2,1.8,6,7.8,10.4,4.3,2,0.3,2.5,51.1,54,18,7.9,16744218,0.005593151618
9,DeMar DeRozan,TOR,26,78,53,25,35.9,23.5,7.9,17.7,44.6,0.6,1.8,33.8,7.1,8.4,85,0.8,3.7,4.5,4,2.2,1,0.3,2.1,36.6,3,0,2.2,10050000,0.003357049805
10,Paul George,IND,26,81,44,37,34.8,23.1,7.5,17.9,41.8,2.6,7,37.1,5.6,6.5,86,1,6,7,4.1,3.3,1.9,0.4,2.8,41,15,0,2.2,17120106,0.005718711294
11,Isaiah Thomas,BOS,27,82,48,34,32.2,22.2,7.2,16.9,42.8,2,5.7,35.9,5.8,6.6,87.1,0.6,2.4,3,6.2,2.7,1.1,0.1,2,36.1,7,0,3.6,6912869,0.002309138858
12,Klay Thompson,GSW,26,80,71,9,33.3,22.1,8.1,17.3,47,3.5,8.1,42.5,2.4,2.8,87.3,0.4,3.4,3.8,2.1,1.7,0.8,0.6,1.9,32.2,0,0,10.5,15501000,0.005177873534
13,Carmelo Anthony,NYK,32,72,32,40,35.1,21.8,7.9,18.2,43.4,1.5,4.3,33.9,4.6,5.6,82.9,1.4,6.4,7.7,4.2,2.4,0.9,0.5,2.5,39.1,22,0,-0.6,22875000,0.007641046197
14,Blake Griffin,LAC,27,35,22,13,33.4,21.4,8.6,17.2,49.9,0.2,0.5,33.3,4,5.5,72.7,1.5,6.9,8.4,4.9,2.4,0.8,0.5,2.7,40.3,13,0,5.1,18907726,0.006315838594
15,Kyle Lowry,TOR,30,77,54,23,37,21.2,6.6,15.6,42.7,2.8,7.1,38.8,5.2,6.4,81.1,0.7,4,4.7,6.4,2.9,2.1,0.4,2.7,41.1,12,1,4.9,12000000,0.004008417677
16,Kawhi Leonard,SAS,25,72,60,12,33,21.2,7.7,15.1,50.6,1.8,4,44.3,4.1,4.6,87.4,1.3,5.5,6.8,2.6,1.5,1.8,1,1.8,40.1,12,0,9.1,16407500,0.005480676086
17,Jimmy Butler III,CHI,26,67,37,30,36.9,20.9,7,15.4,45.4,1,3.1,31.2,5.9,7.1,83.2,1.2,4.2,5.3,4.8,2,1.6,0.6,1.9,39.4,10,2,-0.2,16407500,0.005480676086
18,Kemba Walker,CHA,26,81,47,34,35.6,20.9,7,16.4,42.7,2.2,6,37.1,4.6,5.4,84.7,0.7,3.7,4.4,5.2,2.1,1.6,0.5,1.4,37.9,3,0,3,12000000,0.004008417677
19,CJ McCollum,POR,24,80,44,36,34.7,20.8,8,17.9,44.8,2.5,5.9,41.7,2.3,2.8,82.7,0.6,2.7,3.2,4.3,2.5,1.2,0.3,2.3,33.2,2,0,2,2525160,0.0008434913318
20,Andrew Wiggins,MIN,21,81,29,52,35.1,20.7,7.3,16,45.9,0.7,2.3,30,5.3,7,76.1,1.3,2.3,3.6,2,2.2,1,0.6,2,30.4,1,0,-0.8,5758680,0.001923599559
21,Brook Lopez,BKN,28,73,21,52,33.7,20.6,8.1,15.8,51.1,0,0.2,14.3,4.3,5.5,78.7,2.8,5.1,7.8,2,2.4,0.8,1.7,2.9,38.1,26,0,-1.7,19689000,0.006576811304
22,Eric Bledsoe,PHX,26,31,12,19,34.2,20.4,7.2,15.9,45.3,1.5,4.2,37.2,4.5,5.5,80.2,0.6,3.5,4,6.1,3.5,2,0.6,2.4,38.8,3,0,-1.6,13500000,0.004509469887
23,John Wall,WAS,25,77,37,40,36.2,19.9,7.4,17.5,42.4,1.5,4.3,35.1,3.5,4.5,79.1,0.5,4.4,4.9,10.2,4.1,1.9,0.8,2.1,45,49,4,1.3,15851950,0.00529510305
24,Gordon Hayward,UTA,26,80,38,42,36.2,19.7,6.5,15,43.3,1.8,5.1,34.9,4.9,6,82.4,0.8,4.2,5,3.7,2.5,1.2,0.3,2.3,33.3,4,0,1.2,15409570,0.005147332732
25,Kyrie Irving,CLE,24,53,37,16,31.5,19.6,7.4,16.6,44.8,1.6,4.9,32.1,3.2,3.6,88.5,0.8,2.1,3,4.7,2.3,1.1,0.3,2,32.1,1,0,3.9,16407501,0.00548067642
26,Brandon Knight,PHX,24,52,16,36,36,19.6,7.1,17.2,41.5,2.3,6.8,34.2,3,3.5,85.2,0.7,3.2,3.9,5.1,3.4,1.2,0.4,2.4,33.1,4,1,-4,13500000,0.004509469887
27,Danilo Gallinari,DEN,27,53,22,31,34.7,19.5,5.4,13.2,41,1.6,4.5,36.4,7.1,8.2,86.8,1,4.3,5.3,2.5,1.5,0.8,0.4,1.6,31.7,3,0,-1.9,14000000,0.00467648729
28,Chris Paul,LAC,31,74,50,24,32.7,19.5,7,15.1,46.2,1.6,4.4,37.1,4,4.4,89.6,0.5,3.7,4.2,10,2.6,2.1,0.2,2.5,43.6,38,0,7.5,21468695,0.007171291379
29,Chris Bosh,MIA,32,53,29,24,33.5,19.1,6.8,14.5,46.7,1.5,4.2,36.5,4,5.1,79.5,0.9,6.5,7.4,2.4,1.5,0.7,0.6,1.9,34,15,0,0.5,22192730,0.00741314427
30,Dwyane Wade,MIA,34,74,43,31,30.5,19,7.3,16,45.6,0.1,0.6,15.9,4.4,5.5,79.3,1.1,3,4.1,4.6,2.7,1.1,0.6,1.6,33.1,2,0,-0.1,20000000,0.006680696129
31,Reggie Jackson,DET,26,79,43,36,30.7,18.8,6.8,15.7,43.4,1.5,4.2,35.3,3.7,4.3,86.4,0.7,2.5,3.2,6.2,2.8,0.7,0.1,2.4,31.9,9,0,1.7,13913044,0.004647440959
32,Karl-Anthony Towns,MIN,20,82,29,53,32,18.3,7.6,14.1,54.2,0.4,1.1,34.1,2.7,3.4,81.1,2.8,7.7,10.5,2,2.2,0.7,1.7,3,38.8,52,0,-1.6,5703600,0.001905200922
33,Dirk Nowitzki,DAL,38,75,38,37,31.5,18.3,6.6,14.8,44.8,1.7,4.6,36.8,3.3,3.7,89.3,0.7,5.8,6.5,1.8,1.1,0.7,0.7,2.1,31.8,10,0,3.4,8333334,0.00278362361
34,Nikola Vučević,ORL,25,65,28,37,31.3,18.2,8.2,16.1,51,0,0.1,22.2,1.7,2.3,75.3,2.7,6.2,8.9,2.8,1.9,0.8,1.1,2.7,36.7,29,0,-0.7,,
35,Khris Middleton,MIL,24,79,33,46,36.1,18.2,6.4,14.5,44.4,1.8,4.6,39.6,3.5,3.9,88.8,0.6,3.3,3.8,4.2,2.3,1.7,0.2,2.6,32.4,1,0,-0.4,14700000,0.004910311654
36,LaMarcus Aldridge,SAS,30,74,61,13,30.6,18,7.2,14.1,51.3,0,0.2,0,3.5,4.1,85.8,2.4,6.2,8.5,1.5,1.3,0.5,1.1,2,34,26,0,6.9,19689000,0.006576811304
37,Kobe Bryant,LAL,37,66,13,53,28.2,17.6,6,16.9,35.8,2,7.1,28.5,3.5,4.3,82.6,0.6,3.1,3.7,2.8,2,0.9,0.2,1.7,27.7,2,0,-8.6,25000000,0.008350870161
38,Jahlil Okafor,PHI,20,53,6,47,30,17.5,7.5,14.7,50.8,0,0.1,16.7,2.5,3.7,68.6,2.3,4.7,7,1.2,2.3,0.4,1.2,2.6,30.2,11,0,-9.3,4582680,0.001530774627
39,Bradley Beal,WAS,23,55,28,27,31.1,17.4,6.5,14.5,44.9,1.9,4.9,38.7,2.5,3.2,76.7,0.7,2.7,3.4,2.9,2,1,0.2,2.1,27.4,0,0,-0.4,5694674,0.001902219327
40,Rudy Gay,SAC,29,70,29,41,34,17.2,6.7,14.4,46.3,1.1,3.1,34.4,2.8,3.6,78,1.5,5,6.5,1.7,2,1.4,0.7,2.6,32.1,7,0,-1.2,12403101,0.004143067442
41,Paul Millsap,ATL,31,81,48,33,32.7,17.1,6.2,13.2,47,0.9,2.9,31.9,3.8,5,75.7,2.4,6.6,9,3.3,2.4,1.8,1.7,2.9,41.1,32,0,2.7,18671659,0.006236984
42,Ryan Anderson,NOP,28,66,24,42,30.4,17,6,14.1,42.7,2,5.4,36.6,3,3.5,87.3,2,4,6,1.1,1.4,0.6,0.4,1.7,27.4,8,0,0.5,8500000,0.002839295855
43,Giannis Antetokounmpo,MIL,21,80,32,48,35.3,16.9,6.4,12.7,50.6,0.4,1.4,25.7,3.7,5.1,72.4,1.4,6.2,7.7,4.3,2.6,1.2,1.4,3.2,37.7,21,5,-2.1,1953960,0.0006526906504
44,Jrue Holiday,NOP,26,65,27,38,28.2,16.8,6.3,14.4,43.9,1.3,4,33.6,2.8,3.3,84.3,0.4,2.6,3,6,2.6,1.4,0.3,2.3,31.9,5,0,0.4,10595507,0.00353926813
45,Marc Gasol,MEM,31,52,30,22,34.4,16.6,6.3,13.6,46.4,0,0.1,66.7,3.9,4.7,82.9,1.1,5.8,7,3.8,2.3,1,1.3,2.7,35.2,9,1,0.2,19688000,0.006576477269
46,Pau Gasol,CHI,35,72,36,36,31.8,16.5,6.5,13.8,46.9,0.3,1,34.8,3.2,4,79.2,2.2,8.9,11,4.1,2.3,0.6,2,2.1,41.4,46,2,0,7448760,0.002488145105
47,Derrick Favors,UTA,24,62,30,32,32,16.4,6.7,13.1,51.5,0,0.1,0,2.9,4.1,70.9,2.7,5.4,8.1,1.5,1.7,1.2,1.5,2.4,34.7,19,0,1.6,12000000,0.004008417677
48,Derrick Rose,CHI,27,66,32,34,31.8,16.4,6.8,15.9,42.7,0.7,2.3,29.3,2.2,2.7,79.3,0.7,2.7,3.4,4.7,2.7,0.7,0.2,1.3,27.5,1,0,-2.5,20093064,0.006711782744
49,JJ Redick,LAC,32,75,50,25,28,16.3,5.6,11.7,48,2.7,5.6,47.5,2.4,2.7,88.8,0.1,1.7,1.9,1.4,1,0.6,0.1,1.8,21.5,0,0,6.8,7085000,0.002366636604
50,Andre Drummond,DET,22,81,43,38,32.9,16.2,6.8,13.1,52.1,0,0.1,33.3,2.6,7.2,35.5,4.9,9.9,14.8,0.8,1.9,1.5,1.4,3,41.9,66,0,1.6,3272091,0.001092992284
51,Kevin Love,CLE,27,77,53,24,31.5,16,5.3,12.7,41.9,2.1,5.7,36,3.4,4.1,82.2,1.9,8,9.9,2.4,1.8,0.8,0.5,2.1,33.5,35,0,5.6,19689000,0.006576811304
