Unnamed: 0,PLAYER,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,Salary,Player_Comp_Share
136,Terrence Ross,PHX,32,6,2,4,11.5,3.7,1.3,4.5,29.6,1,3.7,27.3,0,0,0,0,1.3,1.3,0.2,0.2,0.2,0.3,1,6.9,0,0,-1,580373,0.0001097113422
137,Jonathan Kuminga,GSW,20,10,5,5,6.1,3.4,1.3,2.4,54.2,0.3,0.7,42.9,0.5,0.9,55.6,0.4,0.5,0.9,0.5,0.4,0.2,0,0.5,5.4,0,0,-2.3,5739860,0.001085039698
138,Bismack Biyombo,PHX,30,8,4,4,9.8,3.4,1.1,2,56.3,0,0,0,1.1,2.3,50,1.3,2.1,3.4,0.8,0.8,0,1.3,2.3,11.6,0,0,-2.6,1836090,0.0003470869565
139,Haywood Highsmith,MIA,26,18,9,9,8.9,3.3,1.3,2.2,61.5,0.4,0.9,50,0.2,0.3,80,0.6,0.8,1.3,0.3,0.1,0.6,0.1,1.1,7.2,0,0,-0.8,1752638,0.0003313115312
140,JaMychal Green,GSW,33,7,2,5,7,3.3,1.3,3.3,39.1,0.7,2.6,27.8,0,0,0,0,0.7,0.7,0.4,0.3,0,0.1,1.4,4.9,0,0,-3,1836090,0.0003470869565
141,Christian Braun,DEN,22,19,15,4,13,3.2,1.3,2.4,53.3,0.1,0.5,20,0.6,1,57.9,0.6,1.4,2.1,0.6,0.5,0.6,0.2,1.5,8.4,0,0,-0.4,2808600,0.000530926276
142,Jaylen Nowell,MIN,23,5,1,4,12.4,3.2,1.2,5.2,23.1,0.6,1.8,33.3,0.2,0.4,50,0.8,0.2,1,0.6,0.4,0,0,0.8,4.9,0,0,-5.8,1930681,0.0003649680529
142,Payton Pritchard,BOS,25,10,6,4,5.7,3.2,1.2,2.2,54.5,0.4,1,40,0.4,0.5,80,0,0.6,0.6,1.1,0.5,0.1,0,0.3,5.4,0,0,0.8,2239200,0.000423289225
144,Isaiah Hartenstein,NYK,25,11,6,5,20,3.1,1,2.1,47.8,0,0,0,1.1,1.5,75,2.1,2.5,4.6,1.3,0.5,0.8,1.4,2.6,16.7,0,0,-0.2,7804879,0.001475402457
145,Cam Thomas,BKN,21,2,0,2,7.8,3,1.5,3.5,42.9,0,1,0,0,0,0,0,0.5,0.5,0.5,0.5,0,0,1,3.9,0,0,-6.5,2138160,0.0004041890359
145,Day'Ron Sharpe,BKN,21,2,0,2,9.8,3,1,1.5,66.7,0,0,0,1,1,100,1,2,3,2.5,1,0,0.5,1.5,10.9,0,0,-4.5,2109480,0.0003987674858
145,Malik Beasley,LAL,26,11,6,5,8.3,3,0.9,3.1,29.4,0.6,2.4,26.9,0.5,0.5,100,0.3,0.5,0.7,0.2,0.2,0.1,0,0.5,4.2,0,0,-0.9,15558035,0.00294102741
145,Yuta Watanabe,BKN,28,1,0,1,4.7,3,1,2,50,1,2,50,0,2,0,0,1,1,0,1,0,0,0,3.2,0,0,-4,1762796,0.000333231758
149,Danuel House Jr.,PHI,30,7,3,4,6,2.9,1.3,3,42.9,0.1,1.4,10,0.1,0.1,100,0,1.7,1.7,0.1,0.1,0,0,0.6,5,0,0,-3.6,4105000,0.0007759924386
