PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,#ERROR!,SALARY,Player_Comp_Share
Victor Oladipo,ORL,23,72,22,50,35.7,17.9,6.6,15.1,43.6,1.2,3.4,33.9,3.6,4.4,81.9,0.7,3.5,4.2,4.1,2.8,1.7,0.3,2.6,32.1,3,0,-4.2,4978200,0.003327673797
Kyle Lowry,TOR,29,70,43,27,34.5,17.8,6.1,14.9,41.2,1.9,5.6,33.8,3.6,4.5,80.8,0.8,3.9,4.7,6.8,2.5,1.6,0.2,3,36.3,13,2,2.9,12000000,0.008021390374
Derrick Rose,CHI,26,51,33,18,30,17.7,6.6,16.4,40.5,1.5,5.3,28,3,3.7,81.3,0.7,2.5,3.2,4.9,3.2,0.7,0.3,1.2,28.8,4,0,2.4,18862876,0.01260887433
John Wall,WAS,24,79,45,34,35.9,17.6,6.6,14.8,44.5,0.8,2.7,30,3.6,4.6,78.5,0.5,4.2,4.6,10,3.8,1.7,0.6,2.3,41.3,40,0,3.5,14746000,0.009856951872
Marc Gasol,MEM,30,81,55,26,33.2,17.4,6.5,13.2,49.4,0,0.2,17.6,4.3,5.4,79.5,1.4,6.4,7.8,3.8,2.2,0.9,1.6,2.6,37.7,20,0,2.8,15829688,0.01058134225
Kemba Walker,CHA,25,62,21,41,34.2,17.3,6.1,15.8,38.5,1.4,4.5,30.4,3.8,4.6,82.7,0.6,3,3.5,5.1,1.6,1.4,0.5,1.5,33.5,4,0,-3,3272091,0.002187226604
Dirk Nowitzki,DAL,37,77,47,30,29.6,17.3,6.3,13.8,45.9,1.4,3.6,38,3.3,3.8,88.2,0.6,5.4,5.9,1.9,1.1,0.5,0.4,2.1,29,6,0,3.1,7974482,0.005330536096
Brook Lopez,BKN,27,72,34,38,29.2,17.2,7,13.7,51.3,0,0.1,10,3.1,3.8,81.4,3,4.5,7.4,0.7,1.4,0.6,1.8,2.9,32.7,17,0,-1.4,15719062,0.01050739439
Tobias Harris,ORL,22,68,20,48,34.8,17.1,6.5,14,46.6,1.3,3.5,36.4,2.8,3.6,78.8,1.1,5.3,6.3,1.8,1.7,1,0.5,2,30.4,11,0,-4.3,2380594,0.00159130615
Eric Bledsoe,PHX,25,81,39,42,34.6,17,5.8,12.9,44.7,1.1,3.4,32.4,4.4,5.4,80,0.9,4.3,5.2,6.1,3.4,1.6,0.6,2.3,35.4,13,2,0.4,13000000,0.008689839572
Brandon Knight,PHX,23,63,33,30,32.3,17,6,14.1,42.2,2,5.1,38.9,3.1,3.5,87.4,0.4,3.4,3.9,5.2,3,1.4,0.2,1.8,31.3,2,0,-1.2,3553917,0.002375612968
Andrew Wiggins,MIN,20,82,16,66,36.2,16.9,6.1,13.9,43.7,0.5,1.5,31,4.3,5.7,76,1.6,2.9,4.6,2.1,2.2,1,0.6,2.3,28.3,2,0,-6.7,5510640,0.003683582888
Tony Wroten,PHI,22,30,4,26,29.8,16.9,5.8,14.5,40.3,1.2,4.7,26.1,4,6,66.7,0.7,2.1,2.9,5.2,3.8,1.6,0.3,2.4,30,2,0,-7.8,1210080,0.0008088770053
Paul Millsap,ATL,30,73,55,18,32.7,16.7,6.1,12.7,47.6,1.1,3,35.6,3.5,4.6,75.7,1.9,5.9,7.8,3.1,2.3,1.8,0.9,2.8,36.5,15,0,5.6,9500000,0.00635026738
Al Jefferson,CHA,30,65,25,40,30.6,16.6,7.5,15.5,48.1,0,0.1,40,1.7,2.5,65.5,1.5,6.9,8.4,1.7,1,0.7,1.3,2.1,34.4,22,0,-1.8,13500000,0.009024064171
Tyreke Evans,NOP,25,79,43,36,34,16.6,6.6,14.7,44.7,0.9,2.9,30.4,2.6,3.7,69.4,1,4.2,5.3,6.6,3.1,1.3,0.5,2.5,34.9,18,1,2.1,11265416,0.007530358289
Kawhi Leonard,SAS,24,64,46,18,31.8,16.5,6.2,12.8,47.9,1,3,34.9,3.2,3.9,80.2,1.3,5.9,7.2,2.5,1.5,2.3,0.8,2,36.6,14,0,6.9,2894059,0.001934531417
Kawhi Leonard,SAS,24,64,46,18,31.8,16.5,6.2,12.8,47.9,1,3,34.9,3.2,3.9,80.2,1.3,5.9,7.2,2.5,1.5,2.3,0.8,2,36.6,14,0,6.9,2894059,0.001934531417
Isaiah Thomas,BOS,26,67,40,27,25.8,16.4,5,11.9,42.1,1.9,5.2,37.3,4.5,5.2,86.8,0.5,1.8,2.3,4.2,2.1,0.9,0.1,2.2,26.2,0,0,2.6,7238606,0.004838640374
Kevin Love,CLE,26,75,50,25,33.8,16.4,5.5,12.7,43.4,1.9,5.2,36.7,3.4,4.3,80.4,1.9,7.9,9.7,2.2,1.6,0.7,0.5,1.9,33.4,38,0,5.3,15719063,0.01050739505
JJ Redick,LAC,31,78,55,23,30.9,16.4,5.7,12,47.7,2.6,5.9,43.7,2.3,2.6,90.1,0.3,1.9,2.1,1.8,1.2,0.5,0.1,1.7,22.2,0,0,8,6792500,0.004540441176
Goran Dragic,MIA,29,78,41,37,33.8,16.3,6.4,12.8,50.1,1.2,3.3,34.7,2.3,3,77.4,1,2.5,3.5,4.5,2.2,1,0.2,2.5,28.7,4,0,0.3,7500000,0.005013368984
Darren Collison,SAC,27,45,16,29,34.8,16.1,5.8,12.2,47.3,1.3,3.6,37.3,3.2,4.1,78.8,0.4,2.8,3.2,5.6,2.5,1.5,0.3,2.1,31.2,3,0,0.8,4797664,0.003206994652
Zach Randolph,MEM,33,71,51,20,32.4,16.1,6.4,13.1,48.7,0.1,0.3,35,3.2,4.2,76.5,3.2,7.4,10.5,2.2,2.2,1,0.2,2.5,33.3,38,0,4.9,16500000,0.01102941176
George Hill,IND,29,43,26,17,29.5,16.1,5.9,12.4,47.7,1.6,4.5,35.8,2.6,3.3,79,0.6,3.6,4.2,5.1,1.6,1,0.3,2.6,31.2,2,1,3.7,8000000,0.005347593583
Derrick Favors,UTA,23,74,33,41,30.8,16,6.5,12.4,52.5,0,0.1,16.7,3,4.5,66.9,2.6,5.6,8.2,1.5,1.6,0.8,1.7,2.8,33.9,23,0,0.8,12950000,0.008656417112
Wesley Matthews,POR,28,60,41,19,33.7,15.9,5.6,12.5,44.8,2.9,7.4,38.9,1.8,2.4,75.2,0.6,3.1,3.7,2.3,1.4,1.3,0.2,2.2,26.8,0,0,4.5,7245640,0.004843342246
Jeff Teague,ATL,27,73,53,20,30.5,15.9,5.6,12.2,46,1,2.8,34.3,3.8,4.4,86.2,0.4,2.1,2.5,7,2.8,1.7,0.4,1.9,33.1,10,0,5.3,8000000,0.005347593583
Greg Monroe,DET,25,69,25,44,31,15.9,6.1,12.4,49.6,0,0,0,3.7,4.9,75,3.3,6.9,10.2,2.1,2.2,1.1,0.5,2.1,34,35,0,-0.3,5479934,0.003663057487
Mike Conley,MEM,27,70,47,23,31.8,15.8,5.6,12.6,44.6,1.5,4,38.6,3.1,3.6,85.9,0.4,2.6,3,5.4,2.2,1.3,0.2,2,29.6,6,0,3.1,8694216,0.005811641711
Jamal Crawford,LAC,35,64,44,20,26.6,15.8,5.2,13.1,39.6,1.9,5.7,32.7,3.5,3.9,90.1,0.3,1.7,1.9,2.5,1.4,0.9,0.2,1.7,23.8,0,0,1.3,5450000,0.003643048128
