PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,#ERROR!,SALARY,Player_Comp_Share
Donatas Motiejunas,HOU,24,71,48,23,28.7,12,5,9.9,50.4,0.7,1.9,36.8,1.4,2.3,60.2,1.9,4,5.9,1.8,1.7,0.8,0.5,2.9,24,7,0,1.4,,
Jonas Valančiūnas,TOR,23,80,47,33,26.2,12,4.7,8.2,57.2,0,0,0,2.7,3.5,78.6,2.7,6,8.7,0.5,1.4,0.4,1.2,2.8,26.6,22,0,-0.3,,
Evan Fournier,ORL,22,58,19,39,28.6,12,4.4,9.9,44,1.5,3.9,37.8,1.8,2.5,72.8,0.5,2.2,2.6,2.1,1.4,0.7,0,2,19.1,0,0,-2.5,1483920,0.0009919251337
Jordan Hill,LAL,27,70,19,51,26.8,12,5.1,11.1,45.9,0,0.2,27.3,1.8,2.4,73.8,2.5,5.5,7.9,1.5,1.5,0.5,0.7,2.3,25.9,22,0,-5.7,9000000,0.006016042781
Jarrett Jack,BKN,31,80,36,44,28,12,4.5,10.2,43.9,0.5,1.8,26.7,2.5,2.8,88.1,0.2,2.8,3.1,4.7,2.4,0.9,0.2,1.8,23.5,5,0,-3.9,6300000,0.004211229947
Jabari Brown,LAL,22,19,4,15,29.9,11.9,3.7,8.9,41.2,1.2,3.3,37.1,3.4,4.5,75.3,0.2,1.7,1.9,2.1,1.7,0.6,0.1,1.7,17.9,0,0,-6.7,59686,3.99E-05
Gerald Green,PHX,29,74,34,40,19.5,11.9,4.4,10.5,41.6,1.9,5.2,35.4,1.3,1.6,82.5,0.4,2.1,2.5,1.2,1.4,0.6,0.2,2,17.6,0,0,0,3500000,0.002339572193
Jordan Clarkson,LAL,23,59,11,48,25,11.9,4.5,10.1,44.8,0.6,2.1,31.4,2.2,2.7,82.9,0.9,2.3,3.2,3.5,1.6,0.9,0.2,1.8,22.6,2,0,-4.1,507336,0.0003391283422
Paul Pierce,WAS,37,73,40,33,26.2,11.9,4,9,44.7,1.6,4.2,38.9,2.2,2.9,78.1,0.6,3.4,4,2,1.3,0.6,0.3,2.2,21.3,2,0,2.2,5305000,0.003546122995
Langston Galloway,NYK,23,45,12,33,32.4,11.8,4.5,11.4,39.9,1.4,3.9,35.2,1.4,1.7,80.8,0.8,3.4,4.2,3.3,1.4,1.2,0.3,2.9,24.8,0,0,-6,235762,0.0001575949198
Carlos Boozer,LAL,33,71,18,53,23.8,11.8,5.2,10.5,49.9,0,0,0,1.3,2.1,62.7,1.6,5.2,6.8,1.3,1.3,0.6,0.2,2.6,22.9,10,0,-4.5,3251000,0.002173128342
Dion Waiters,OKC,23,80,46,34,27.6,11.8,4.7,11.8,39.6,0.9,3.1,29.7,1.5,2.2,68,0.5,1.9,2.4,2,1.4,1.1,0.3,1.9,20.4,1,0,0.7,4062000,0.002715240642
Hassan Whiteside,MIA,26,48,18,30,23.8,11.8,5.1,8.1,62.8,0,0,0,1.6,3.3,50,3,7,10,0.1,1.2,0.6,2.6,2.7,32.2,22,1,-1.2,769881,0.0005146263369
Terrence Jones,HOU,23,33,24,9,27,11.7,4.8,9.1,52.8,0.4,1.1,35.1,1.7,2.8,60.6,2.4,4.3,6.7,1.1,1.1,0.5,1.8,2.4,27.2,8,0,2.4,,
Danny Green,SAS,28,81,55,26,28.5,11.7,4,9.1,43.6,2.4,5.6,41.8,1.4,1.6,87.4,0.7,3.6,4.2,2,1.1,1.2,1.1,2,25.5,2,0,5.3,4025000,0.002690508021
Draymond Green,GSW,25,79,64,15,31.5,11.7,4.3,9.7,44.3,1.4,4.2,33.7,1.7,2.5,66,1.4,6.7,8.2,3.7,1.7,1.6,1.3,3.2,33.8,18,1,10.6,915243,0.0006117934492
David West,IND,34,66,32,34,28.7,11.7,4.9,10.4,47.1,0.1,0.3,20,1.8,2.4,73.9,1.6,5.2,6.8,3.4,1.8,0.7,0.7,2.4,27.4,7,0,-0.3,12000000,0.008021390374
Aaron Brooks,CHI,30,82,50,32,23,11.6,4.2,10,42.1,1.5,3.8,38.7,1.8,2.1,83.3,0.4,1.6,2,3.2,1.9,0.7,0.2,2.3,19.4,1,0,2.5,915243,0.0006117934492
DeAndre Jordan,LAC,26,82,56,26,34.4,11.5,4.6,6.5,71,0,0,25,2.3,5.7,39.7,4.8,10.1,15,0.7,1.3,1,2.2,3,38.9,47,0,7.6,11440123,0.007647141043
Ersan Ilyasova,MIL,28,58,26,32,22.7,11.5,4.5,9.6,47.2,1.3,3.3,38.9,1.2,1.8,64.5,1.4,3.4,4.8,1,0.8,0.6,0.3,2.6,20.8,6,0,0.4,7900000,0.005280748663
Amar'e Stoudemire,DAL,32,59,19,40,21.1,11.5,4.6,8.3,55.7,0,0.1,0,2.3,3.2,72,1.9,3.7,5.6,0.8,1.3,0.5,0.6,2.7,21.4,4,0,-0.9,306876,0.000205131016
Tim Hardaway Jr.,NYK,23,70,16,54,24,11.5,4,10.2,38.9,1.7,5.1,34.2,1.8,2.2,80.1,0.2,2.1,2.2,1.8,1.2,0.3,0.2,1.7,17.2,0,0,-5,1250640,0.0008359893048
Corey Brewer,HOU,29,80,42,38,26.1,11.5,4.3,10.1,42.6,0.8,2.9,26.8,2.1,2.8,74.3,1,2.7,3.7,2.2,1.6,1.4,0.2,2.2,22.5,3,0,-0.4,4702500,0.003143382353
O.J. Mayo,MIL,27,71,39,32,23.9,11.4,4.2,9.9,42.2,1.4,3.9,35.7,1.6,2,82.7,0.4,2.2,2.6,2.8,1.8,0.8,0.3,2.3,20,0,0,-0.9,8000000,0.005347593583
Jeremy Lin,LAL,26,74,19,55,25.8,11.2,3.7,8.8,42.4,0.9,2.4,36.9,2.9,3.6,79.5,0.4,2.3,2.6,4.6,2.2,1.1,0.4,2.6,23.7,3,0,-3.4,8374646,0.005598025401
Jodie Meeks,DET,27,60,29,31,24.4,11.1,3.7,8.9,41.6,1.2,3.5,34.9,2.4,2.7,90.6,0.2,1.5,1.7,1.3,1,1,0.1,1.3,17.4,0,0,-1.6,6000000,0.004010695187
Nene,WAS,32,67,37,30,25.3,11,4.6,9,51.1,0,0.1,20,1.8,3,60.4,1.3,3.9,5.1,1.8,1.9,1,0.3,2.7,22,2,0,2.5,,
Vander Blue,LAL,22,2,0,2,36.9,11,4.5,15,30,1,5,20,1,2.5,40,1,3.5,4.5,4,3,1.5,0,2,23.9,0,0,-19,,
Michael Kidd-Gilchrist,CHA,21,55,27,28,28.9,10.9,4.1,8.8,46.5,0,0,0,2.7,3.9,70.1,2,5.6,7.6,1.4,1.1,0.5,0.7,2.1,24.6,12,0,1.3,5016960,0.003353582888
Anthony Morrow,OKC,29,74,42,32,24.4,10.7,3.9,8.3,46.3,1.9,4.4,43.4,1.1,1.2,88.8,0.5,2.1,2.6,0.8,0.5,0.7,0.1,1.8,17.2,2,0,3,3200000,0.002139037433
Anthony Morrow,OKC,29,74,42,32,24.4,10.7,3.9,8.3,46.3,1.9,4.4,43.4,1.1,1.2,88.8,0.5,2.1,2.6,0.8,0.5,0.7,0.1,1.8,17.2,2,0,3,3200000,0.002139037433
Brandon Bass,BOS,30,82,40,42,23.5,10.6,4.2,8.3,50.4,0.1,0.4,28.1,2.1,2.6,79,1.7,3.2,4.9,1.3,1,0.5,0.4,1.7,19.9,5,0,-2.2,6900000,0.004612299465
Roy Hibbert,IND,28,76,34,42,25.3,10.6,4.2,9.3,44.6,0,0,0,2.2,2.7,82.4,2.1,5.1,7.1,1.1,1.4,0.2,1.6,2.8,25,18,0,-0.8,14898938,0.009959183155
Manu Ginobili,SAS,37,70,47,23,22.7,10.5,3.6,8.4,42.6,1.3,3.7,34.5,2.1,2.9,72.1,0.4,2.6,3,4.2,2.2,1,0.3,2,22,3,0,4.5,7000000,0.004679144385
Marcus Morris Sr.,PHX,25,81,39,42,25.2,10.4,4.1,9.4,43.4,1.4,3.9,35.8,0.9,1.4,62.8,0.9,3.9,4.8,1.6,0.9,0.8,0.2,2.3,20.6,5,0,-0.8,2943221,0.001967393717
Marcus Morris Sr.,PHX,25,81,39,42,25.2,10.4,4.1,9.4,43.4,1.4,3.9,35.8,0.9,1.4,62.8,0.9,3.9,4.8,1.6,0.9,0.8,0.2,2.3,20.6,5,0,-0.8,2943221,0.001967393717
Marreese Speights,GSW,27,76,62,14,15.9,10.4,4.2,8.5,49.2,0.1,0.2,27.8,2,2.3,84.3,1.4,2.8,4.3,0.9,1.1,0.3,0.4,2.5,18,1,0,2.4,3657500,0.002444852941
Alexey Shved,NYK,26,42,10,32,18.3,10.3,3.2,8,39.7,1.1,3.3,33.8,2.9,3.6,80.7,0.5,1.8,2.4,2.5,1.1,0.7,0.1,1.1,18.4,2,0,-3.1,3282056,0.002193887701
Taj Gibson,CHI,30,62,38,24,27.3,10.3,4.1,8.2,50.2,0,0,0,2.1,3,71.7,2.6,3.8,6.4,1.1,1.2,0.6,1.2,2.6,23.8,8,0,0.6,8000000,0.005347593583
Tyson Chandler,DAL,32,75,47,28,30.5,10.3,3.9,5.9,66.6,0,0,0,2.5,3.4,72,3.9,7.6,11.5,1.1,1.4,0.6,1.2,2.3,29.7,31,0,3.1,14846888,0.009924390374
Ricky Rubio,MIN,24,22,7,15,31.5,10.3,3.5,10,35.6,0.6,2.3,25.5,2.6,3.2,80.3,0.9,4.8,5.7,8.8,2.9,1.7,0,2.7,32.7,7,1,-0.5,4660479,0.003115293449
Kelly Olynyk,BOS,24,64,31,33,22.2,10.3,3.9,8.3,47.5,1,2.7,34.9,1.5,2.1,68.4,1.4,3.3,4.7,1.7,1.5,1,0.6,3.3,21.8,3,0,3.6,2075760,0.001387540107
Mario Chalmers,MIA,29,80,36,44,29.6,10.2,3.3,8.3,40.3,0.9,3.1,29.4,2.6,3.3,77.4,0.3,2.3,2.6,3.8,2.2,1.5,0.1,3.1,21.8,4,0,-1.8,4000000,0.002673796791
Nikola Mirotic,CHI,24,82,50,32,20.2,10.2,3.1,7.6,40.5,1.2,3.8,31.6,2.8,3.5,80.3,0.8,4.2,4.9,1.2,1.1,0.7,0.7,2.1,20.7,8,0,2.1,5305000,0.003546122995
Tyler Zeller,BOS,25,82,40,42,21.1,10.2,4.1,7.5,54.9,0,0,0,1.9,2.3,82.3,1.8,3.9,5.7,1.4,0.9,0.2,0.6,2.5,20.7,3,0,-1.5,1703760,0.001138877005
Patrick Beverley,HOU,26,56,35,21,30.8,10.1,3.6,9.5,38.3,2.1,5.8,35.6,0.8,1.1,75,1.2,3,4.2,3.4,1.5,1.1,0.4,3.3,23.3,2,0,1.3,915243,0.0006117934492
Zach LaVine,MIN,20,77,15,62,24.7,10.1,3.7,8.8,42.2,0.7,2.2,34.1,1.9,2.3,84.2,0.4,2.4,2.8,3.6,2.5,0.7,0.1,2.1,18.8,4,0,-7,2055840,0.001374224599
Courtney Lee,MEM,29,77,51,26,30.6,10.1,3.7,8.4,44.8,1.2,2.9,40.2,1.4,1.7,86,0.3,2,2.3,2,1,1,0.2,1.7,18.2,0,0,1.6,5450000,0.003643048128
Harrison Barnes,GSW,23,82,67,15,28.3,10.1,3.9,8,48.2,1.1,2.6,40.5,1.3,1.8,72,1.4,4.1,5.5,1.4,0.9,0.7,0.2,1.8,20.9,6,0,6.5,3049920,0.002038716578
Harrison Barnes,GSW,23,82,67,15,28.3,10.1,3.9,8,48.2,1.1,2.6,40.5,1.3,1.8,72,1.4,4.1,5.5,1.4,0.9,0.7,0.2,1.8,20.9,6,0,6.5,3049920,0.002038716578
Gary Neal,MIN,30,54,24,30,22.1,10.1,3.5,9.3,37.4,0.9,3,30.5,2.2,2.5,86.7,0.3,2.1,2.4,1.9,1.2,0.4,0,1.6,15.8,0,0,-1.9,3250000,0.002172459893
Gary Neal,MIN,30,54,24,30,22.1,10.1,3.5,9.3,37.4,0.9,3,30.5,2.2,2.5,86.7,0.3,2.1,2.4,1.9,1.2,0.4,0,1.6,15.8,0,0,-1.9,3250000,0.002172459893
Matt Barnes,LAC,35,76,51,25,29.9,10.1,3.6,8.2,44.4,1.8,4.9,36.2,1,1.3,77.9,0.7,3.3,4,1.5,1.1,0.9,0.7,3.2,20.5,1,0,6.9,3396250,0.002270220588
C.J. Watson,IND,31,57,25,32,24.9,10,3.2,7.3,43.4,1.2,3.1,40,2.4,2.9,82.6,0.3,2.5,2.9,3.6,1.8,1,0.2,1.9,20.6,0,0,0.1,2077000,0.001388368984
Wayne Ellington,LAL,27,65,18,47,25.8,10,3.9,9.5,41.2,1.4,3.7,37,0.8,1,81.3,0.5,2.8,3.2,1.6,0.8,0.5,0,1.2,17.1,1,0,-1.9,915243,0.0006117934492
Dennis Schröder,ATL,21,77,57,20,19.7,10,3.7,8.6,42.7,0.7,1.9,35.1,1.9,2.3,82.7,0.4,1.8,2.1,4.1,1.9,0.6,0.1,1.6,18.8,5,0,0.1,,
Nerlens Noel,PHI,21,75,18,57,30.8,9.9,4,8.7,46.2,0,0,0,1.9,3.1,60.9,2.5,5.7,8.1,1.7,1.9,1.8,1.9,2.8,31.3,18,0,-5.8,3315120,0.002215989305
Wesley Johnson,LAL,27,76,20,56,29.5,9.9,3.8,9.1,41.4,1.2,3.4,35.1,1.2,1.5,80.4,0.9,3.3,4.2,1.6,1.1,0.8,0.6,2.1,20.4,3,0,-4.1,915243,0.0006117934492
Luc Mbah a Moute,PHI,28,67,16,51,28.6,9.9,3.7,9.5,39.5,0.9,3,30.7,1.4,2.4,58.9,1.2,3.7,4.9,1.6,1.5,1.2,0.3,1.6,21.2,4,0,-5.4,4382576,0.002929529412
Terrence Ross,TOR,24,82,49,33,25.5,9.8,3.8,9.2,41,1.8,4.8,37.2,0.5,0.7,78.6,0.4,2.4,2.8,1,0.8,0.6,0.3,1.7,16.7,0,0,0.5,2793960,0.001867620321
Terrence Ross,TOR,24,82,49,33,25.5,9.8,3.8,9.2,41,1.8,4.8,37.2,0.5,0.7,78.6,0.4,2.4,2.8,1,0.8,0.6,0.3,1.7,16.7,0,0,0.5,2793960,0.001867620321
Anderson Varejao,CLE,32,26,16,10,24.4,9.8,4.3,7.7,55.5,0,0.1,0,1.3,1.7,73.3,2.2,4.3,6.5,1.3,1.3,0.7,0.6,2.2,22.4,2,0,0.2,9704545,0.006486995321
Gorgui Dieng,MIN,25,73,16,57,30,9.7,3.5,7,50.6,0,0.1,16.7,2.6,3.3,78.3,3.1,5.3,8.3,2,1.7,1,1.7,2.6,29.1,18,0,-5.2,1413480,0.0009448395722
Timofey Mozgov,CLE,28,81,49,32,25.3,9.7,3.9,7,55.5,0,0.1,33.3,1.9,2.7,71.8,2.5,4.8,7.3,0.7,1.4,0.4,1.2,2.8,22.8,18,0,3.2,4650000,0.00310828877
Robin Lopez,POR,27,59,38,21,27.8,9.6,4,7.4,53.5,0,0,0,1.7,2.2,77.2,3.2,3.5,6.7,0.9,1.2,0.3,1.4,2.1,22.9,6,0,2.5,6124729,0.004094070187
Evan Turner,BOS,26,82,40,42,27.6,9.5,3.9,9.1,42.9,0.4,1.5,27.7,1.3,1.7,75.2,0.5,4.6,5.1,5.5,2.4,1,0.2,2.2,25.1,7,3,-1.2,3278000,0.002191176471
D.J. Augustin,OKC,27,82,37,45,23.9,9.5,3.1,7.9,39.9,1,3,33.7,2.2,2.5,86.8,0.2,1.7,2,4.3,1.8,0.6,0,1.1,18.4,4,0,-0.9,3000000,0.002005347594
D.J. Augustin,OKC,27,82,37,45,23.9,9.5,3.1,7.9,39.9,1,3,33.7,2.2,2.5,86.8,0.2,1.7,2,4.3,1.8,0.6,0,1.1,18.4,4,0,-0.9,3000000,0.002005347594
Greivis Vasquez,TOR,28,82,49,33,24.3,9.5,3.6,8.8,40.8,1.6,4.3,37.9,0.6,0.8,75.8,0.3,2.4,2.6,3.7,1.5,0.6,0.1,2.2,18.7,0,0,0.9,6400000,0.004278074866
Mike Dunleavy,CHI,34,63,41,22,29.2,9.4,3.3,7.6,43.5,1.7,4.2,40.7,1.1,1.4,80.5,0.4,3.5,3.9,1.8,1,0.6,0.3,2,18.8,0,0,3.3,3326235,0.002223419118
Luis Scola,IND,35,81,37,44,20.5,9.4,3.7,7.9,46.7,0.1,0.2,25,2,2.8,69.9,1.7,4.8,6.5,1.3,1.2,0.6,0.2,2.4,20.4,9,0,0.4,4868499,0.003254344251
Nicolas Batum,POR,26,71,43,28,33.5,9.4,3.4,8.5,40,1.4,4.4,32.4,1.2,1.4,85.7,0.9,5,5.9,4.8,1.9,1.1,0.6,1.5,26.7,5,0,3,11765500,0.007864639037
Amir Johnson,TOR,28,75,44,31,26.4,9.3,4,6.9,57.4,0.3,0.6,41.3,1.1,1.7,61.2,2.1,4,6.1,1.6,1.5,0.6,0.8,3,21.5,6,0,0.8,7000000,0.004679144385
Isaiah Canaan,PHI,24,47,24,23,20,9.2,3.1,8,38.6,1.9,5.2,37,1,1.3,81.7,0.4,1.5,1.9,2.1,1.3,0.6,0.1,1.8,15.3,0,0,-1.3,816842,0.0005460173797
Marco Belinelli,SAS,29,62,41,21,22.4,9.2,3.2,7.6,42.3,1.4,3.7,37.4,1.4,1.6,84.8,0.4,2.1,2.5,1.5,1,0.5,0,1.4,15.1,0,0,0,2873750,0.001920955882
Marco Belinelli,SAS,29,62,41,21,22.4,9.2,3.2,7.6,42.3,1.4,3.7,37.4,1.4,1.6,84.8,0.4,2.1,2.5,1.5,1,0.5,0,1.4,15.1,0,0,0,2873750,0.001920955882
P.J. Tucker,PHX,30,78,36,42,30.6,9.1,3.3,7.6,43.8,1.1,3.2,34.5,1.3,1.8,72.7,1.5,5,6.4,1.6,1.2,1.4,0.3,2.3,23,4,0,-0.6,5700000,0.003810160428
Jose Calderon,NYK,33,42,7,35,30.2,9.1,3.5,8.4,41.5,1.4,3.4,41.5,0.7,0.8,90.6,0.5,2.5,3,4.7,1.8,0.7,0,1.8,20.1,2,0,-8.1,7097191,0.004744111631
Jason Richardson,PHI,34,19,4,15,21.9,9.1,3.3,9.4,34.8,1.6,5.1,32.3,0.9,1.2,77.3,0.7,2.8,3.5,2,0.8,0.7,0.2,1.5,17.9,0,0,-3.7,6601125,0.004412516711
Bojan Bogdanovic,BKN,26,78,36,42,23.8,9,3.3,7.4,45.3,1.2,3.3,35.5,1.1,1.4,82.1,0.6,2.1,2.7,0.9,1,0.4,0.1,1.3,14.2,0,0,-2.3,3278000,0.002191176471
Rajon Rondo,DAL,29,68,34,34,29.7,8.9,4,9.5,42.6,0.4,1.3,31.4,0.5,1.1,39.7,1.1,4.4,5.5,7.9,3.1,1.3,0.1,2.3,28.6,15,3,-0.9,12909090,0.008629070856
Elfrid Payton,ORL,21,82,25,57,30.3,8.9,3.7,8.6,42.5,0.1,0.5,26.2,1.4,2.6,55.1,1.3,3,4.3,6.5,2.5,1.7,0.2,2.4,27.2,12,2,-2.5,,
Solomon Hill,IND,24,82,38,44,29,8.9,3.1,7.7,39.6,0.8,2.5,32.7,1.9,2.4,82.4,0.9,3,3.8,2.2,1.4,0.8,0.2,2.2,18.5,1,0,-2.2,1302840,0.0008708823529
Omri Casspi,SAC,27,67,23,44,21.1,8.9,3.1,6.4,48.9,0.5,1.3,40.2,2.1,2.9,73.3,0.8,3.1,3.9,1.5,1.3,0.5,0.1,1.6,16.3,1,0,-2.7,915243,0.0006117934492
Michael Beasley,MIA,26,24,11,13,21,8.8,3.8,8.8,43.4,0.3,1.4,23.5,0.8,1.1,76.9,0.5,3.2,3.7,1.3,1.5,0.6,0.5,2.8,17.2,1,0,0.1,195440,0.0001306417112
Paul George,IND,25,6,5,1,15.2,8.8,3,8.2,36.7,1.5,3.7,40.9,1.3,1.8,72.7,0.7,3,3.7,1,2,0.8,0.2,1.8,15.7,0,0,2.5,15937290,0.01065326872
Hollis Thompson,PHI,24,71,13,58,25,8.8,3.2,7.6,41.3,1.6,4,40.1,0.9,1.3,70.8,0.7,2,2.8,1.2,0.9,0.8,0.4,2,16.5,0,0,-4.8,816482,0.000545776738
Devin Harris,DAL,32,76,45,31,22.2,8.8,2.9,6.9,41.8,1.3,3.5,35.7,1.7,2.1,81.5,0.2,1.6,1.8,3.1,1.1,1,0.2,1.9,18.1,0,0,1.3,3878896,0.00259284492
Mason Plumlee,BKN,25,82,38,44,21.3,8.7,3.4,6,57.3,0,0,0,1.9,3.9,49.5,2.1,4.1,6.2,0.9,1.3,0.8,0.8,2.5,21,12,0,-2.2,1357080,0.0009071390374
Boris Diaw,SAS,33,81,55,26,24.5,8.7,3.6,7.8,46,0.7,2.1,32,0.9,1.1,77.4,1,3.3,4.3,2.9,1.6,0.4,0.3,1.8,18.8,1,0,3.6,7500000,0.005013368984
Randy Foye,DEN,31,50,15,35,21.7,8.7,3,8,36.8,1.9,5.3,35.7,0.9,1.1,81.8,0.2,1.5,1.7,2.4,1.2,0.7,0.2,1.9,15.8,0,0,-2.1,3000000,0.002005347594
Randy Foye,DEN,31,50,15,35,21.7,8.7,3,8,36.8,1.9,5.3,35.7,0.9,1.1,81.8,0.2,1.5,1.7,2.4,1.2,0.7,0.2,1.9,15.8,0,0,-2.1,3000000,0.002005347594
Dwight Buycks,LAL,26,6,1,5,20.5,8.7,3,6.7,45,1.2,1.8,63.6,1.5,1.7,90,0.3,1.7,2,2.3,2,0.5,0,0.5,14.1,0,0,-4,816482,0.000545776738
Rodney Hood,UTA,22,50,27,23,21.3,8.7,3.1,7.5,41.4,1.2,3.4,36.5,1.2,1.6,76.3,0.2,2.2,2.3,1.7,0.9,0.6,0.2,2.4,15.6,0,0,1.2,1290360,0.000862540107
Chris Kaman,POR,33,74,47,27,18.9,8.6,3.8,7.4,51.5,0,0,0,1,1.4,70.6,2,4.5,6.5,0.9,1.5,0.2,0.7,1.9,19.2,4,0,-0.1,4800000,0.00320855615
Tony Allen,MEM,33,63,46,17,26.2,8.6,3.6,7.2,49.5,0.2,0.5,34.5,1.3,2,62.7,1.6,2.8,4.4,1.4,1.4,2,0.5,2.6,22.1,2,0,3.9,4831461,0.00322958623
Mirza Teletovic,BKN,29,40,16,24,22.3,8.5,3.1,8,38.2,1.6,4.8,32.1,0.8,1.2,71.7,0.7,4.2,4.9,1.2,1.3,0.4,0.4,1.9,16.9,1,0,-0.3,3368100,0.002251403743
Tristan Thompson,CLE,24,82,53,29,26.8,8.5,3.3,6,54.7,0,0,0,1.9,3,64.1,3.3,4.7,8,0.5,1,0.4,0.7,2.3,21.2,14,0,2.7,5138430,0.003434779412
Sebastian Telfair,OKC,30,16,4,12,20.4,8.4,2.9,7.8,36.8,1.1,3.8,30,1.5,2.1,70.6,0.1,1.8,1.9,2.8,1.1,0.6,0,1.8,15.6,0,0,-4,915243,0.0006117934492
Rudy Gobert,UTA,23,82,38,44,26.3,8.4,3.1,5.2,60.4,0,0,0,2.1,3.3,62.3,3.2,6.2,9.5,1.3,1.4,0.8,2.3,2.1,29.6,25,0,0.1,1127400,0.0007536096257
Derrick Williams,SAC,24,74,27,47,19.8,8.3,2.9,6.6,44.7,0.7,2.1,31.4,1.8,2.6,68.4,0.6,2.2,2.7,0.7,0.8,0.5,0.1,0.9,13.4,1,0,-3.5,6331404,0.004232221925
Ed Davis,LAL,26,79,20,59,23.3,8.3,3.6,5.9,60.1,0,0,0,1.2,2.4,48.7,2.9,4.7,7.6,1.2,0.7,0.6,1.2,2.6,24.1,6,0,-3.4,981084,0.0006558048128
Jameer Nelson,DEN,33,63,25,38,22.3,8.3,3.3,8,40.7,1.4,4.1,34.5,0.4,0.6,66.7,0.5,1.8,2.3,4,1.7,0.7,0.1,2.2,17.9,0,0,-0.2,2732000,0.001826203209
Jameer Nelson,DEN,33,63,25,38,22.3,8.3,3.3,8,40.7,1.4,4.1,34.5,0.4,0.6,66.7,0.5,1.8,2.3,4,1.7,0.7,0.1,2.2,17.9,0,0,-0.2,2732000,0.001826203209
Zaza Pachulia,MIL,31,73,34,39,23.7,8.3,3.3,7.2,45.4,0,0,0,1.7,2.2,78.8,2.7,4.2,6.8,2.4,1.8,1.1,0.3,2.3,22.5,15,0,3.6,5200000,0.003475935829
Tiago Splitter,SAS,30,52,34,18,19.8,8.2,3.3,5.8,55.8,0,0,0,1.7,2.3,75,1.8,3.1,4.8,1.5,1.2,0.7,0.7,2,19.3,1,0,4.4,9250000,0.00618315508
Lance Stephenson,CHA,24,61,23,38,25.8,8.2,3.4,9,37.6,0.3,1.7,17.1,1.1,1.8,62.7,0.6,3.9,4.5,3.9,2.1,0.6,0.1,2.2,19.7,2,0,-3.6,9000000,0.006016042781
Henry Sims,PHI,25,73,14,59,19.2,8,3.3,6.9,47.4,0.1,0.3,18.2,1.5,1.9,77.4,1.7,3.3,4.9,1.1,1.4,0.5,0.4,1.8,17,4,0,-4.5,915243,0.0006117934492
Iman Shumpert,CLE,25,62,34,28,24.9,8,3.1,7.6,41,1.1,3.2,34.2,0.7,1,67.2,0.9,2.7,3.6,2.2,1.5,1.3,0.3,2.2,18.8,2,0,1,2616975,0.00174931484
Iman Shumpert,CLE,25,62,34,28,24.9,8,3.1,7.6,41,1.1,3.2,34.2,0.7,1,67.2,0.9,2.7,3.6,2.2,1.5,1.3,0.3,2.2,18.8,2,0,1,2616975,0.00174931484
Jason Smith,NYK,29,82,17,65,21.8,8,3.1,7.2,43.4,0.2,0.5,35.7,1.5,1.9,83,1.2,2.8,4,1.7,1.3,0.4,0.5,2.5,16.8,3,0,-5.2,3278000,0.002191176471
Patrick Patterson,TOR,26,81,49,32,26.6,8,3,6.6,44.9,1.3,3.5,37.1,0.8,1,78.8,1.6,3.8,5.3,1.9,0.7,0.7,0.5,1.8,20.5,3,0,3.1,5831326,0.003897945187
Kris Humphries,WAS,30,64,37,27,21,8,3.3,7,47.3,0,0.1,0,1.4,1.8,74.4,1.8,4.7,6.5,0.9,0.7,0.5,0.4,2,19.1,3,0,-1.4,4250000,0.002840909091
David Lee,GSW,32,49,37,12,18.5,7.9,3.3,6.4,51.1,0,0,0,1.4,2.1,65.4,1.7,3.6,5.2,1.7,1,0.6,0.5,1.7,19.3,1,0,0.5,15012000,0.01003475936
Marcus Thornton,PHX,28,48,19,29,15,7.9,2.9,7.2,40.6,1.1,3,37.8,1,1.2,82.1,0.5,1.3,1.8,0.8,0.6,0.6,0.1,0.8,12.8,0,0,-0.1,8575000,0.005731951872
James Johnson,TOR,28,70,40,30,19.6,7.9,3.4,5.8,58.9,0.2,0.7,21.6,1,1.5,65.7,0.9,2.8,3.7,1.4,1.1,0.8,1,2.2,18.5,2,0,2.1,2500000,0.001671122995
James Johnson,TOR,28,70,40,30,19.6,7.9,3.4,5.8,58.9,0.2,0.7,21.6,1,1.5,65.7,0.9,2.8,3.7,1.4,1.1,0.8,1,2.2,18.5,2,0,2.1,2500000,0.001671122995
KJ McDaniels,HOU,22,62,19,43,21.8,7.9,2.8,7,39.6,0.7,2.4,28.7,1.6,2.1,75.2,1,2.2,3.2,1.2,1.7,0.7,1.1,2,17.3,1,0,-4.2,507336,0.0003391283422
Andre Iguodala,GSW,31,77,64,13,26.9,7.8,3,6.4,46.6,1,2.8,34.9,0.9,1.5,59.6,0.6,2.8,3.3,3,1.1,1.2,0.3,1.3,19.6,0,0,5.7,12289544,0.008214935829
Marcus Smart,BOS,21,67,35,32,27,7.8,2.6,7.1,36.7,1.4,4.1,33.5,1.2,1.9,64.6,0.9,2.4,3.3,3.1,1.3,1.5,0.3,2.6,20.3,0,0,0.8,3283320,0.00219473262
Mike Scott,ATL,26,68,52,16,16.5,7.8,3,6.7,44.4,1,2.8,34.4,0.9,1.1,79.2,0.7,2.3,2.9,1.1,0.6,0.4,0,1.2,13.6,0,0,0.3,3333333,0.00222816377
