PLAYER,Season,Tier,Performance_Index,SALARY,Predicted_Salary,Salary_Diff,Payment_Status
Pau Gasol,2010-2011,1,98.65,17823000.0,17747330.0,75670.0,Underpaid
Kobe Bryant,2006-2007,1,98.63,17718750.0,17727142.0,-8392.0,Overpaid
Jason Kidd,2006-2007,1,98.62,18084000.0,17722828.0,361172.0,Underpaid
Paul Pierce,2008-2009,1,98.6,18077903.0,17552660.0,525243.0,Underpaid
Karl Malone,2001-2002,1,98.58,17500000.0,17536994.0,-36994.0,Overpaid
Chris Paul,2012-2013,1,98.56,18668431.0,17512774.0,1155657.0,Underpaid
Kevin Durant,2012-2013,1,98.54,17832626.0,17511712.0,320914.0,Underpaid
LeBron James,2011-2012,1,98.52,17545000.0,17511670.0,33330.0,Underpaid
Tracy Mcgrady,2006-2007,1,98.5,16901500.0,17476652.0,-575152.0,Overpaid
Derrick Rose,2014-2015,1,98.48,18862876.0,17440522.0,1422354.0,Underpaid
Jermaine O'Neal,2006-2007,1,98.46,18084000.0,17439496.0,644504.0,Underpaid
Carmelo Anthony,2012-2013,1,98.45,19444503.0,17426548.0,2017955.0,Underpaid
Kevin Garnett,2005-2006,1,98.43,18000000.0,17386896.0,613104.0,Underpaid
Stephon Marbury,2007-2008,1,98.41,19012500.0,17357776.0,1654724.0,Underpaid
Allen Iverson,2006-2007,1,98.39,17184375.0,17315906.0,-131531.0,Overpaid
Rasheed Wallace,2003-2004,1,98.37,18000000.0,17220162.0,779838.0,Underpaid
Scottie Pippen,2001-2002,1,98.35,18083000.0,17211202.0,871798.0,Underpaid
Chris Bosh,2011-2012,1,98.33,17545000.0,17207432.0,337568.0,Underpaid
LeBron James,2010-2011,1,98.31,14500000.0,17083990.0,-2583990.0,Overpaid
Joe Johnson,2011-2012,1,98.29,18038573.0,17032120.0,1006453.0,Underpaid
Pau Gasol,2009-2010,1,98.27,16452000.0,17024132.0,-572132.0,Overpaid
Carmelo Anthony,2010-2011,1,98.26,17149243.0,17012866.0,136377.0,Underpaid
Yao Ming,2010-2011,1,98.24,17686100.0,17000792.0,685308.0,Underpaid
Dirk Nowitzki,2010-2011,1,98.22,17278618.0,16986958.0,291660.0,Underpaid
Amar'e Stoudemire,2011-2012,1,98.2,18217705.0,16960636.0,1257069.0,Underpaid
Elton Brand,2011-2012,1,98.18,18160355.0,16644924.0,1515431.0,Underpaid
Deron Williams,2013-2014,1,98.16,18466130.0,16631670.0,1834460.0,Underpaid
Allen Iverson,2005-2006,1,98.14,16453125.0,16630742.0,-177617.0,Overpaid
Amar'e Stoudemire,2009-2010,1,98.12,16378325.0,16595011.0,-216686.0,Overpaid
Zach Randolph,2010-2011,1,98.1,17666666.0,16591525.0,1075141.0,Underpaid
Juwan Howard,2001-2002,1,98.08,18750000.0,16524075.0,2225925.0,Underpaid
Antawn Jamison,2007-2008,1,98.07,16360094.0,16459920.0,-99826.0,Overpaid
Shawn Marion,2008-2009,1,98.05,17810000.0,16447648.0,1362352.0,Underpaid
Dirk Nowitzki,2009-2010,1,98.03,19795714.0,16431368.0,3364346.0,Underpaid
Michael Redd,2009-2010,1,98.01,17040000.0,16356968.0,683032.0,Underpaid
Amar'e Stoudemire,2010-2011,1,97.99,16486611.0,16250792.0,235819.0,Underpaid
Chris Paul,2011-2012,1,97.97,16359805.0,16233691.0,126114.0,Underpaid
Tim Duncan,2005-2006,1,97.95,15845157.0,16221976.0,-376819.0,Overpaid
Dikembe Mutombo,2003-2004,1,97.93,17895000.0,16199752.0,1695248.0,Underpaid
Allan Houston,2004-2005,1,97.91,17531000.0,16183518.0,1347482.0,Underpaid
Paul Pierce,2007-2008,1,97.9,16360094.0,16099124.0,260970.0,Underpaid
Andrei Kirilenko,2010-2011,1,97.88,17823000.0,16065918.0,1757082.0,Underpaid
Rashard Lewis,2010-2011,1,97.86,19573711.0,16065848.0,3507863.0,Underpaid
Dwyane Wade,2011-2012,1,97.84,15691000.0,16049628.0,-358628.0,Overpaid
LeBron James,2009-2010,1,97.82,15779912.0,16024082.0,-244170.0,Overpaid
Shawn Marion,2007-2008,1,97.8,16440000.0,16021232.0,418768.0,Underpaid
Dwight Howard,2011-2012,1,97.78,18091770.0,16003560.0,2088210.0,Underpaid
LaMarcus Aldridge,2014-2015,1,97.76,16006000.0,15960006.0,45994.0,Underpaid
Dirk Nowitzki,2007-2008,1,97.74,16360094.0,15934135.0,425959.0,Underpaid
Jason Kidd,2005-2006,1,97.72,16440000.0,15909249.0,530751.0,Underpaid
Zach Randolph,2014-2015,1,97.71,16500000.0,15903165.0,596835.0,Underpaid
Dwyane Wade,2009-2010,1,97.69,15779912.0,15883967.0,-104055.0,Overpaid
Deron Williams,2011-2012,1,97.67,16359805.0,15877034.0,482771.0,Underpaid
Rudy Gay,2013-2014,1,97.65,17888932.0,15870675.0,2018257.0,Underpaid
Ray Allen,2007-2008,1,97.63,16000000.0,15854426.0,145574.0,Underpaid
Andrei Kirilenko,2009-2010,1,97.61,16452000.0,15829966.0,622034.0,Underpaid
Vince Carter,2006-2007,1,97.59,15101626.0,15795578.0,-693952.0,Overpaid
Ben Wallace,2006-2007,1,97.57,16000000.0,15673596.0,326404.0,Underpaid
Paul Pierce,2011-2012,1,97.55,15333334.0,15669025.0,-335691.0,Overpaid
Zach Randolph,2012-2013,1,97.54,16500000.0,15662695.0,837305.0,Underpaid
Kobe Bryant,2005-2006,1,97.52,15946875.0,15656733.0,290142.0,Underpaid
Marc Gasol,2014-2015,1,97.5,15829688.0,15624287.0,205401.0,Underpaid
Chris Bosh,2009-2010,1,97.48,15779912.0,15588806.0,191106.0,Underpaid
Vince Carter,2009-2010,1,97.46,16123250.0,15579688.0,543562.0,Underpaid
Carmelo Anthony,2009-2010,1,97.44,15779912.0,15575692.0,204220.0,Underpaid
Pau Gasol,2013-2014,1,97.42,19285850.0,15539772.0,3746078.0,Underpaid
Paul Pierce,2006-2007,1,97.4,15101626.0,15534958.0,-433332.0,Overpaid
Chris Webber,2003-2004,1,97.38,15937000.0,15514819.0,422181.0,Underpaid
Deron Williams,2012-2013,1,97.36,17177795.0,15458538.0,1719257.0,Underpaid
Rashard Lewis,2008-2009,1,97.35,16447871.0,15448444.0,999427.0,Underpaid
Michael Redd,2008-2009,1,97.33,15780000.0,15398785.0,381215.0,Underpaid
Stephon Marbury,2005-2006,1,97.31,16453125.0,15349525.0,1103600.0,Underpaid
Lamarcus Aldridge,2013-2014,1,97.29,14878000.0,15315830.0,-437830.0,Overpaid
Dirk Nowitzki,2006-2007,1,97.27,15101622.0,15310430.0,-208808.0,Overpaid
Kevin Love,2013-2014,1,97.25,14693906.0,15306060.0,-612154.0,Overpaid
Josh Smith,2012-2013,1,97.23,13200000.0,15285282.0,-2085282.0,Overpaid
Elton Brand,2007-2008,1,97.21,15344000.0,15275235.0,68765.0,Underpaid
Tracy Mcgrady,2005-2006,1,97.19,15694250.0,15256603.0,437647.0,Underpaid
Tracy Mcgrady,2007-2008,1,97.17,18257750.0,15251575.0,3006175.0,Underpaid
Kenyon Martin,2009-2010,1,97.16,15852511.0,15250656.0,601855.0,Underpaid
Dwyane Wade,2014-2015,1,97.14,15000000.0,15226934.0,-226934.0,Overpaid
Rashard Lewis,2009-2010,1,97.12,18010791.0,15210527.0,2800264.0,Underpaid
Jalen Rose,2005-2006,1,97.1,15694250.0,15204556.0,489694.0,Underpaid
Grant Hill,2005-2006,1,97.08,15694250.0,15199097.0,495153.0,Underpaid
Shawn Marion,2006-2007,1,97.06,15070000.0,15189021.0,-119021.0,Overpaid
Damon Stoudamire,2004-2005,1,97.04,15750000.0,15171866.0,578134.0,Underpaid
Rasheed Wallace,2002-2003,1,97.02,16200000.0,15130758.0,1069242.0,Underpaid
Pau Gasol,2008-2009,1,97.0,15106000.0,15084488.0,21512.0,Underpaid
Carlos Boozer,2013-2014,1,96.99,15300000.0,15038104.0,261896.0,Underpaid
Sam Cassell,2005-2006,1,96.97,6187500.0,15024633.0,-8837133.0,Overpaid
Stephon Marbury,2006-2007,1,96.95,17184375.0,15010559.0,2173816.0,Underpaid
