Id,PLAYER,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,Salary,Player_Comp_Share
557,Cui Yongxi,BKN,22,5,2,3,2.1,0.6,0.2,1.4,14.3,0,0.6,0,0.2,0.4,50,0,0.4,0.4,0,0,0,0,0,1.1,0,0,0.4,,
558,Tristen Newton,MIN,24,8,2,6,2,0.4,0.1,1,12.5,0,0.4,0,0.1,0.1,100,0.3,0.3,0.5,0.3,0.3,0.1,0,0.5,1.5,0,0,-0.6,,
559,Daishen Nix,MIN,23,3,3,0,4.4,0.3,0,0.3,0,0,0.3,0,0.3,0.7,50,0,1.3,1.3,1,1.3,0,0,0.3,2.1,0,0,3,,
559,Malevy Leons,OKC,25,6,6,0,3.5,0.3,0,0.3,0,0,0.2,0,0.3,0.7,50,0.2,0.3,0.5,0.2,0.2,0,0,0.7,1,0,0,-3,,
561,Isaiah Stevens,MIA,24,3,3,0,1.8,0,0,0.7,0,0,0.3,0,0,0,0,0,0.7,0.7,0,0,0.3,0,0,1.8,0,0,1.3,,
561,Jahlil Okafor,IND,29,1,0,1,3.4,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2.7,0,0,5,,
561,Jalen McDaniels,WAS,27,4,2,2,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.3,0,0,1.1,0,0,-0.3,4741800,0.0007903
561,Jesse Edwards,MIN,25,2,2,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1,0.8,0,0,-5,,
561,Mac McClung,ORL,26,2,1,1,5.1,0,0,1,0,0,0.5,0,0,0,0,0,0.5,0.5,1.5,0,0,0,1,2.9,0,0,-1,,
561,Riley Minix,SAS,24,1,0,1,6.8,0,0,1,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,2.4,0,0,0,,
561,Terence Davis,SAC,28,1,1,0,7.9,0,0,2,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,2.7,0,0,-3,,
561,Terry Taylor,SAC,25,3,1,2,2.1,0,0,0.3,0,0,0,0,0,0,0,0.3,0,0.3,0.7,0,0,0,0,1.4,0,0,3,,
561,Zyon Pullin,MEM,24,3,1,2,0.9,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,,
