Id,PLAYER,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,Salary,Player_Comp_Share
467,Gary Harris,ORL,30,48,28,20,14.8,3,1.1,2.8,38.3,0.8,2.1,35.6,0.1,0.3,58.3,0.4,0.9,1.3,0.6,0.4,0.5,0.3,0.9,7.6,0,0,1.8,6730769,0.001121794833
468,P.J. Tucker,NYK,40,3,1,2,19.3,3,1,2.3,42.9,1,2,50,0,0,0,1.3,1.3,2.7,0,0.3,0.3,0.3,2.7,7.9,0,0,-7.3,246833,4.11E-05
468,Taze Moore,POR,27,2,0,2,9.9,3,1,5,20,0.5,2,25,0.5,1,50,2,2,4,0.5,1,1,0,0,10.6,0,0,-3.5,,
470,Rayan Rupert,POR,21,52,23,29,8.8,3,1.1,2.7,40.8,0.3,1.1,27.1,0.4,0.6,76.7,0.5,0.8,1.3,0.5,0.6,0.3,0.1,0.7,5.9,1,0,-1.7,1891857,0.0003153095
471,Pete Nance,MIL,25,13,8,5,10.6,2.9,1.1,2.5,43.8,0.7,1.8,37.5,0.1,0.2,50,0.4,1.2,1.6,0.8,0.3,0.2,0.2,1.3,6.6,0,0,-1.1,,
472,Tyler Smith,MIL,20,23,12,11,5.3,2.9,1,2.2,48,0.6,1.3,43.3,0.3,0.3,75,0.3,0.8,1.1,0.2,0.3,0.1,0.2,0.5,5,0,0,0.3,1157153,0.0001928588333
473,Markelle Fultz,SAC,27,21,9,12,8.8,2.9,1.3,3.2,41.8,0.2,0.4,50,0,0,100,0.3,0.7,1,1.3,0.7,0.5,0.1,0.6,7,0,0,0.2,731831,0.0001219718333
474,Taj Gibson,CHA,40,37,10,27,11.1,2.9,1.3,2.6,49.5,0,0.1,50,0.3,0.5,60,1.4,1.9,3.2,0.6,0.7,0.2,0.5,1.5,9.1,1,0,-3.4,2087519,0.0003479198333
475,RayJ Dennis,IND,24,11,7,4,6.4,2.7,1,3,33.3,0.5,1.9,28.6,0.2,0.2,100,0.2,0.9,1.1,1.3,0.5,0.6,0.2,0.6,7.9,0,0,4,,
476,Keshad Johnson,MIA,24,16,10,6,6.1,2.7,1.1,1.6,69.2,0.2,0.4,42.9,0.3,0.6,44.4,0.4,1.4,1.8,0.3,0.3,0.3,0.3,0.7,6.6,0,0,0.3,724883,0.0001208138333
477,David Duke Jr.,SAS,25,6,0,6,5.6,2.7,1,2.3,42.9,0.5,1,50,0.2,0.3,50,0.2,0.7,0.8,0.7,0.3,0.2,0,0.2,4.8,0,0,4.7,,
478,Hunter Tyson,DEN,25,51,30,21,7.8,2.6,0.9,2.4,37.5,0.5,1.5,31.1,0.4,0.5,75,0.5,1,1.5,0.4,0.3,0.2,0.1,0.9,5.7,0,0,-1.9,1891857,0.0003153095
479,Josh Minott,MIN,22,46,32,14,6,2.6,1,2,48.9,0.3,0.9,32.6,0.4,0.4,89.5,0.3,0.8,1,0.4,0.2,0.3,0.3,0.7,5.9,0,0,-0.3,2019699,0.0003366165
480,Reece Beekman,BKN,23,36,13,23,13,2.6,1,3,32.7,0.2,1.1,17.5,0.4,0.6,76.2,0.4,0.7,1.1,1.8,0.6,0.9,0.1,1,8.8,0,0,-3.3,,
481,Jae Crowder,SAC,34,9,3,6,11.4,2.6,0.8,2.4,31.8,0.4,1.7,26.7,0.6,0.7,83.3,0.7,1.6,2.2,0.7,0.4,0.3,0,1.1,6.8,0,0,-2,1655619,0.0002759365
482,Jaden Springer,UTA,22,43,22,21,8.5,2.5,0.8,2.1,38.9,0.3,1.1,25,0.6,0.9,71.1,0.4,1,1.3,0.8,0.4,0.6,0.1,1,6.9,0,0,-0.7,634437,0.0001057395
483,Anthony Gill,WAS,32,51,7,44,7.8,2.5,0.8,1.7,48.9,0.2,0.6,32.3,0.6,1,66,0.4,0.9,1.3,0.3,0.2,0.2,0,0.6,5,0,0,-1.4,2237691,0.0003729485
