,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,#ERROR!,SALARY,Player_Comp_Share
1,Dwyane Wade,MIA,27,79,42,37,38.6,30.2,10.8,22,49.1,1.1,3.5,31.7,7.5,9.8,76.5,1.1,3.9,5,7.5,3.4,2.2,1.3,2.3,54.6,20,0,2.7,14410581,0.0028821162
2,Lebron James,CLE,24,81,66,15,37.7,28.4,9.7,19.9,48.9,1.6,4.7,34.4,7.3,9.4,78,1.3,6.3,7.6,7.2,3,1.7,1.1,1.7,53.9,29,7,10.8,14410581,0.0028821162
3,Kobe Bryant,LAL,30,82,65,17,36.1,26.8,9.8,20.9,46.7,1.4,4.1,35.1,5.9,6.9,85.6,1.1,4.1,5.2,4.9,2.6,1.5,0.5,2.3,43.6,8,2,8,21262500,0.0042525
4,Dirk Nowitzki,DAL,31,81,49,32,37.7,25.9,9.6,20,47.9,0.8,2.1,35.9,6,6.7,89,1.1,7.3,8.4,2.4,1.9,0.8,0.8,2.2,42.2,26,0,3,18077904,0.0036155808
5,Danny Granger,IND,26,67,27,40,36.2,25.8,8.5,19.1,44.7,2.7,6.7,40.4,6,6.9,87.8,0.7,4.4,5.1,2.7,2.5,1,1.4,3.1,41,6,0,1,2329805,0.000465961
6,Kevin Durant,OKC,20,74,18,56,39,25.3,8.9,18.8,47.6,1.3,3.1,42.2,6.1,7.1,86.3,1,5.5,6.5,2.8,3,1.3,0.7,1.8,40.3,15,0,-6.8,4484040,0.000896808
7,Kevin Martin,SAC,26,51,12,39,38.2,24.6,6.7,15.9,42,2.3,5.4,41.5,9,10.3,86.7,0.6,3,3.6,2.7,2.9,1.2,0.2,2.3,34.1,1,0,-5.9,8760335,0.001752067
8,Al Jefferson,MIN,24,50,17,33,36.7,23.1,9.7,19.5,49.7,0,0.1,0,3.7,5,73.8,3.4,7.5,11,1.6,1.8,0.8,1.7,2.8,44.1,30,0,-2.1,11000000,0.0022
9,Chris Paul,NOH,24,78,47,31,38.5,22.8,8.1,16.1,50.3,0.8,2.3,36.4,5.8,6.7,86.8,0.9,4.7,5.5,11,3,2.8,0.1,2.7,51.8,50,6,4.5,4574189,0.0009148378
10,Carmelo Anthony,DEN,25,66,45,21,34.5,22.8,8.1,18.3,44.3,1,2.6,37.1,5.6,7.1,79.3,1.6,5.2,6.8,3.4,3,1.1,0.4,3,37.5,12,0,4.6,14410581,0.0028821162
11,Chris Bosh,TOR,25,77,31,46,38,22.7,8,16.4,48.7,0.2,0.6,24.5,6.5,8,81.7,2.8,7.2,10,2.5,2.3,0.9,1,2.5,41.8,43,0,-1.1,14410581,0.0028821162
12,Brandon Roy,POR,24,78,52,26,37.2,22.6,8.1,16.9,48,1.1,2.8,37.7,5.3,6.5,82.4,1.3,3.4,4.7,5.1,1.9,1.1,0.3,1.6,38.3,3,0,6.5,3084240,0.000616848
13,Antawn Jamison,WAS,33,81,19,62,38.2,22.2,8.3,17.8,46.8,1.4,3.9,35.1,4.2,5.6,75.4,2.4,6.5,8.9,1.9,1.5,1.2,0.3,2.7,38.7,38,0,-5.9,9923285,0.001984657
14,Tony Parker,SAS,27,72,47,25,34.1,22,8.9,17.5,50.6,0.3,0.9,29.2,3.9,5,78.2,0.4,2.7,3.1,6.9,2.6,0.9,0.1,1.5,36.4,15,0,4.5,11550000,0.00231
15,Amar'E Stoudemire,PHX,26,53,30,23,36.8,21.4,7.6,14.1,53.9,0.1,0.1,42.9,6.1,7.3,83.5,2.2,5.9,8.1,2,2.8,0.9,1.1,3.1,37.2,16,0,2.2,15070550,0.00301411
16,Joe Johnson,ATL,28,79,45,34,39.5,21.4,7.8,18,43.7,1.9,5.2,36,3.8,4.6,82.6,0.8,3.6,4.4,5.8,2.5,1.1,0.2,2.2,36.7,4,1,2.3,14232567,0.0028465134
17,Devin Harris,NJN,26,69,30,39,36.1,21.3,6.6,15.1,43.8,0.9,3.2,29.1,7.2,8.8,82,0.4,2.9,3.3,6.9,3.1,1.7,0.2,2.4,38.1,16,0,-1.4,7800000,0.00156
18,Michael Redd,MIL,29,33,17,16,36.4,21.2,7.5,16.6,45.5,2.1,5.8,36.6,4,4.9,81.4,0.7,2.5,3.2,2.7,1.6,1.1,0.1,1.4,30.8,1,0,2.4,15780000,0.003156
19,David West,NOH,28,76,45,31,39.2,21,8,17,47.2,0.1,0.3,24,4.8,5.5,88.4,2.1,6.4,8.5,2.3,2.1,0.6,0.9,2.7,37,29,0,2.9,9862500,0.0019725
